indv	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
HG00096	0.006	0.0302	3e-04	6e-04	0.0064	0.0093	0.0093	0.015	-0.0023	-0.0024	0.0016	0.006	-2e-04	0.0021	0.0037	-0.0049	-0.0025	0.0041	-0.0053	0.0019
HG00097	0.0086	0.0093	0.003	-0.0017	-0.0025	4e-04	0.0069	0.0192	0.0031	0.0051	0.0088	-3e-04	0.0026	-0.0043	0.0032	-0.0109	-0.007	-6e-04	-0.0064	-0.0024
HG00099	0.0059	0.0287	-6e-04	0.0034	0.0091	0.0103	0.0064	0.0161	-0.0124	-0.005	-0.0021	-0.0111	0.0026	0.0049	6e-04	0.0179	0.0089	-0.0016	2e-04	0.01
HG00100	0.0053	0.0296	-9e-04	-0.0011	0.0061	-4e-04	-9e-04	0.0099	0.0088	-0.0142	-0.0091	0.0017	0.0077	-0.0014	-0.006	4e-04	0.0037	-0.0053	0.0052	9e-04
HG00101	0.0079	0.0274	-0.0011	0.0055	0.0142	0.0192	0.0137	0.027	-0.0137	0.0085	0.0114	-0.0145	-0.0031	0.0076	0.0033	0.011	-0.0022	0.002	-0.0096	0.0054
HG00102	0.0074	0.0134	0.0039	-0.0055	-0.0098	-0.0128	0.006	0.0139	0.0057	-0.0048	-0.0031	0.0041	0.0049	0.001	0.0027	0.0022	-0.0035	0.0051	-0.0016	-0.0043
HG00103	0.0047	0.034	0.0014	-0.0019	-1e-04	-0.0043	0.0175	0.0221	0.0033	0.0047	0.002	-0.0079	0.0051	0.0057	0.001	0.0036	-0.0032	0.0017	-0.0076	0.002
HG00105	0.0055	0.0274	4e-04	0.0031	0.0088	0.0058	-9e-04	-0.0011	0.0107	-0.0096	5e-04	0.0071	0.0011	0.0013	-0.0054	1e-04	6e-04	0.0047	-0.0072	-0.0023
HG00106	0.0041	0.0277	-9e-04	-0.0027	-0.0022	0.002	-7e-04	-0.0093	-0.0072	-0.0066	-0.0115	0.0046	0	0.0014	0.005	0.0055	0.0085	-9e-04	0.0052	-0.0018
HG00107	0.0049	0.0264	-4e-04	0.0043	0.0106	0.0082	0.0024	0.011	0.0015	-0.0042	0.0058	-6e-04	-0.0039	0.0022	-0.0085	-0.0024	0.006	-0.0022	-0.0052	-9e-04
HG00108	0.0045	0.0292	-7e-04	6e-04	0.0088	-0.0026	0.0058	0.0235	0.0103	-9e-04	0.0072	-0.0091	0.0035	0.0022	-0.0029	0.0024	-0.0068	-0.0029	-0.0122	-0.0103
HG00109	0.0095	0.0232	-0.0019	0.0076	0.0173	0.0184	0.0091	0.0129	-0.0051	0.0102	0.0069	-0.0185	-5e-04	0.0012	-0.0016	0.0098	0.0026	-0.0067	-0.0076	0.0107
HG00110	0.0053	0.0282	-2e-04	0.0021	0.0095	0.0037	0.0088	0.0171	0.0062	0.0036	0.005	-0.0091	-7e-04	0.0028	0.0036	0.0048	0.0036	8e-04	-0.0082	4e-04
HG00111	0.007	0.0288	5e-04	0.0016	0.0076	0.0098	0.0096	0.0131	4e-04	-0.0028	0.0034	0.0045	-0.0047	0.0023	0.0013	-0.001	-0.0017	0.0118	-0.0099	-0.0089
HG00112	0.009	0.0087	0.0019	1e-04	-0.004	0.0095	0.0077	8e-04	-0.0131	0.0038	9e-04	-0.0109	-0.0018	0.0016	0.0026	0.011	0.0011	0.0096	-0.0122	-0.0119
HG00113	0.0075	0.0121	0.0035	-0.0048	-0.0085	-0.0019	-0.0046	-0.0059	-0.0016	9e-04	0.0016	0.0053	4e-04	-0.0015	-0.0048	-0.0145	-0.0087	0.0014	7e-04	-0.0029
HG00114	0.0051	0.0317	5e-04	-3e-04	0.0055	0.0011	0.003	0.0017	-0.0025	-0.0046	-0.0018	0.0022	0.0027	5e-04	0.0029	0.0022	-0.0015	0.0011	-0.005	-0.0161
HG00115	0.0081	0.0256	-0.0026	0.0064	0.0163	0.0189	-0.0013	0.0035	-0.0068	-4e-04	0.0049	-0.0086	0.0029	0	-0.0073	0.0037	0.0103	-0.0125	1e-04	0.0173
HG00116	0.0028	0.0335	-7e-04	-0.0028	5e-04	-0.0062	0.0024	0.0168	0.005	-0.0048	-0.0016	-0.0062	0.0089	0.0069	0	0.0025	0	-0.0054	0.0017	0.0143
HG00117	0.0082	0.0139	0.0036	-0.0034	-0.0062	0.0018	0.0192	0.025	-0.008	0.0109	0.0079	-2e-04	-0.0029	0.0034	0.0073	-0.0089	-0.0101	0.0065	-0.0058	2e-04
HG00118	0.0045	0.0282	4e-04	6e-04	0.0064	0.0041	-7e-04	-0.0026	-0.0046	-0.0147	-0.0075	0.005	-6e-04	0.0053	-0.0034	0.0107	0.0066	0.0049	-0.003	-0.0128
HG00119	0.0059	0.0275	-0.0019	0.0056	0.0118	0.0266	0.0081	0.0068	-0.0177	-0.0065	0.0013	0.0052	-0.0018	0.0056	-0.0087	-0.0011	0.0051	0.001	-0.0048	0.0078
HG00121	0.0081	0.0279	-9e-04	0.0037	0.0131	0.0015	-0.0017	0.011	0.0113	-0.0047	0.0034	0.0014	0.0043	0.0064	-0.0062	9e-04	0.0021	-0.0082	1e-04	0.0094
HG00122	0.0038	0.0276	-2e-04	0.001	0.0051	-0.0041	-0.0047	-0.0041	0.0094	-0.0038	0.0027	-0.0022	0.0036	-9e-04	-0.0137	-0.0022	0.0088	-0.0102	-0.0016	0.0051
HG00123	0.0056	0.0149	0.0044	-0.0079	-0.0151	-0.0171	0.0015	-0.0175	-0.0087	-0.0065	-0.0129	-0.0025	3e-04	-6e-04	0.0017	0.0174	0.0038	0.0061	4e-04	-0.0249
HG00125	7e-04	0.032	-2e-04	-0.0034	-0.001	-0.0181	-0.0104	-0.0151	0.0039	-0.014	-0.0046	-0.0065	8e-04	-0.0039	-8e-04	0.0222	0.0073	0.003	-0.0054	-0.0261
HG00126	0.008	0.0112	0.0039	-0.0025	-0.0079	-0.0031	0.004	0.0021	0.0011	-7e-04	-0.004	0.0111	-6e-04	0.0052	0.0014	-0.0075	-0.0076	0.0093	-4e-04	-0.0044
HG00127	0.0061	0.0316	9e-04	1e-04	0.0032	0.0013	-0.0081	-0.006	0.0108	0.0032	0.0079	0.0046	0.0012	0.002	-0.0037	-0.0151	-0.0084	0.0036	-0.0075	-0.0042
HG00128	0.0077	0.0144	0.0029	-0.0062	-0.0136	-0.0159	0.0026	1e-04	0.0095	-6e-04	-0.0089	0.0045	0.0057	-0.0011	-5e-04	0.0032	-0.0015	0.004	0.003	0.0065
HG00129	0.0039	0.0327	5e-04	-0.0031	0.0012	-0.0103	-0.0045	-0.0159	-0.0031	-0.0129	-0.0122	0.002	8e-04	-0.0019	0.001	0.0173	0.0036	0.0031	0.0011	-0.0267
HG00130	0.007	0.0279	-5e-04	0.0032	0.0084	0.0133	0.0027	0.0048	-0.0118	0.0039	0.0011	-0.0103	0.0019	0.0059	0.0047	0.0086	0.0072	-0.0047	8e-04	0.0157
HG00131	0.0106	0.0014	0.0081	-0.0108	-0.0283	-0.0161	0.0135	0.0099	-1e-04	8e-04	-0.0092	0.0102	0.0078	0.0026	-0.004	-0.0186	-0.0058	-0.0044	0.0052	0.0175
HG00132	0.0075	0.0096	0.0017	-0.004	-0.0084	-3e-04	0.016	0.0263	-0.004	0.0144	0.0109	-0.0042	-0.0045	3e-04	0.0095	-0.0074	-0.0123	0.0061	-0.0065	-0.0029
HG00133	0.007	0.0126	0.0034	-0.0045	-0.0103	-0.0046	0.0045	9e-04	0.0041	-0.0093	-0.0058	0.0111	0.0063	0.0011	-0.0094	-0.0128	-0.0041	-0.0056	0.0031	0.0107
HG00136	0.0066	0.0265	-0.0016	0.0039	0.0144	-0.0065	-0.0059	0.0109	0.0166	-0.0042	0.0061	-0.0046	0.0043	4e-04	-0.0036	0.0062	0.0018	-0.0067	-0.0039	-0.0067
HG00137	0.0042	0.034	0.0012	-0.0027	-8e-04	-0.004	-0.0012	-0.0064	-0.0015	5e-04	-0.002	-0.0013	0.003	-0.0014	-0.0016	-0.0027	0.0025	-0.0032	-0.0022	-0.0113
HG00138	0.006	0.0299	-3e-04	8e-04	0.0078	0.0061	0.0048	0.0136	0.0017	-0.0015	0.0049	0.0071	0.0032	0.0033	-0.0018	-0.0114	-0.0055	-0.0029	-0.0022	1e-04
HG00139	0.0104	0.0179	0.0056	-0.0057	-0.0104	-0.0031	0.0211	0.0229	-0.0071	0.0151	0.005	-0.0031	0.0037	0.0017	0.0086	-0.0098	-0.0136	5e-04	-8e-04	0.0111
HG00140	0.0107	0.0087	0.0026	-0.001	-0.0027	-0.0025	-0.0014	0.0017	0.019	-0.0102	-0.0037	0.0082	0.0091	-8e-04	-0.0099	-0.0118	-0.0037	-0.0081	-9e-04	0.012
HG00141	0.0054	0.0326	0.001	2e-04	0.0038	-0.0015	0.0071	0.0013	0.0019	-0.0069	-0.0057	0.0011	0.001	-0.0018	-0.0034	0.0071	0.0031	3e-04	-0.0023	-0.0038
HG00142	0.0068	0.0314	0.0015	8e-04	0.0082	0.0084	0.0054	0.0159	0.0016	-0.0069	0.0025	0.0064	0.005	-0.0036	-8e-04	-0.0105	-0.005	-0.0056	-0.0041	0.0061
HG00143	0.0076	0.026	-9e-04	0.0039	0.0099	0.0029	-0.0069	-0.0061	0.0159	-0.0057	7e-04	0.0049	0.0024	-0.0055	-0.0112	-0.0042	0.0029	-0.0065	9e-04	0.0045
HG00145	0.0052	0.0267	2e-04	0.0039	0.0102	0.0212	0.0067	0.0141	-0.0184	0.0063	0.0165	-0.0111	-0.0102	0.0027	0.0079	0.009	1e-04	0.0127	-0.0173	-0.01
HG00146	0.0083	0.0167	0.0057	-0.0049	-0.0132	-0.008	0.0059	-0.0022	0.0035	-0.002	-0.0032	0.005	0.0033	-0.0017	0.0013	-0.0054	-0.0076	0.0058	-0.0061	0.0038
HG00148	0.007	0.0331	-9e-04	-0.002	6e-04	-0.0075	-0.0064	-0.0078	0.0118	-0.0046	-0.0117	0	0.0099	-0.0063	-0.0077	2e-04	0.0104	-0.0074	0.0125	0.0194
HG00149	0.0053	0.032	9e-04	0.0013	0.0074	0.0062	0.0159	0.0349	-0.0015	0.0025	0.0119	-0.0025	-7e-04	0.0011	4e-04	-0.0031	-0.0093	0.0033	-0.008	-0.0021
HG00150	0.0092	0.0062	0.0021	3e-04	0.0011	0.0221	0.0109	0.0224	-0.0259	0.0057	0.009	-0.0012	-0.0055	0.0071	0.0047	-0.0076	-0.0064	2e-04	-0.0014	0.0107
HG00151	0.0076	0.0107	0.004	-0.0033	-0.0074	0.0017	-9e-04	0.0057	-0.0045	-0.0095	-0.0045	0.0156	0.002	0.0018	-0.0015	-0.0099	-0.0028	-0.0015	0.0019	0.0054
HG00154	0.0101	0.0106	0.0019	-0.0044	-0.0032	-0.0098	0.0045	0.0095	0.0073	3e-04	-0.0068	-0.0083	0.0047	-0.001	-0.0022	0.004	0.0095	-0.0046	0.0057	0.0105
HG00155	0.008	0.0165	0.0038	-0.0053	-0.0114	2e-04	0.0086	-0.0093	-0.0262	0.0032	-0.0128	-0.0109	-0.0022	-0.0045	0.004	0.0176	0.0128	0.0045	0.0062	0.007
HG00157	0.0087	0.0159	0.0048	-0.0062	-0.0108	-0.0108	0.0163	0.0135	-0.0038	0.006	-0.0073	-0.0031	0.0022	-0.0037	0.0119	0.0066	-0.0091	0.0038	3e-04	-0.0044
HG00158	0.0057	0.0148	0.0045	-0.0052	-0.0135	0.0025	0.0094	0.0034	-0.025	2e-04	-0.0046	-0.003	6e-04	0.0073	0.0072	4e-04	-0.0012	0.008	-0.0026	-0.0043
HG00159	0.0111	-5e-04	-0.004	-0.0022	0.007	-0.0127	0.024	0.0087	-0.0284	0.0118	-0.0112	-0.0134	0.001	0.0019	0.0157	0.0161	0.0034	-0.0036	0.0089	0.0129
HG00160	0.0047	0.0149	0.0033	-0.0073	-0.0089	-0.0072	0.0126	0.0159	-0.0173	-0.0051	-0.0093	-0.0069	3e-04	3e-04	0.0082	0.0139	0.0057	-0.004	0.0054	-1e-04
HG00171	0.0054	0.0158	0.0044	-0.006	-0.0122	-0.011	0.0132	0.0196	-0.0023	-3e-04	4e-04	0.0018	0.0029	0.0011	-1e-04	-0.0019	-0.0012	7e-04	-0.001	8e-04
HG00173	0.01	0.0128	0.0043	-0.0038	-0.0038	0.0025	0.0115	0.0238	-0.0058	0.0048	0.0039	-0.0022	0.0065	0.0023	3e-04	-0.0103	-0.0108	-0.0056	-7e-04	0.0071
HG00174	0.0111	-0.0045	0.0068	-0.0071	-0.0206	-0.0114	0.002	-0.0102	0.0076	-0.0018	-0.0062	0.0101	0.0044	-0.0038	-0.0038	-0.0121	-0.005	0.0037	-0.0011	0.0012
HG00176	0.0095	-0.0072	0.007	-0.0082	-0.0243	-0.0062	0.008	-0.0024	-0.02	-0.0033	-0.0102	-0.004	-4e-04	0.0037	0.0039	0.0151	0.0012	0.0086	-0.002	-0.0027
HG00177	0.0099	-0.008	0.0059	-0.0082	-0.0173	-0.0163	0.007	0.0193	0.0082	-0.0082	-0.0063	0.0049	0.0094	-0.0019	-0.0019	-0.0067	-0.0101	-0.0011	-5e-04	-0.0063
HG00178	0.0054	0.0276	-5e-04	-0.0014	9e-04	-0.001	0.0096	0.0168	0.002	0.0016	-9e-04	-0.005	0.0041	9e-04	0.01	0.0081	-0.0051	0.0046	-0.0054	-0.0032
HG00179	0.0094	-0.0095	0.005	-0.0062	-0.0163	-0.0109	0.016	0.0244	0.0024	-0.0044	-0.0037	0.0024	0.0016	0.0021	9e-04	0.0054	-0.0052	0.0054	-0.005	7e-04
HG00180	0.0105	-0.0056	0.0068	-0.0075	-0.0169	-0.0077	0.0128	0.0051	-0.0068	0.014	0.0019	-0.0036	-0.006	-0.0011	0.0083	-0.0023	-1e-04	0.0041	9e-04	0.0018
HG00181	0.0069	0.0292	-5e-04	0.0024	0.0088	-4e-04	0.0116	0.0171	0.0115	0.0106	0.0067	-0.0104	0.0024	-0.0033	-9e-04	-3e-04	-0.0019	-0.0063	-0.0054	0.0082
HG00182	0.0071	0.0165	0.0055	-0.0058	-0.0094	-0.0025	0.0232	0.0382	-0.005	0.0119	0.006	-0.0029	0.0036	0.0028	0.0106	-0.0085	-0.017	5e-04	-0.0034	0.012
HG00183	0.0107	-0.0045	0.0077	-0.0093	-0.0237	-0.0075	0.0074	0.0072	-0.0023	3e-04	-0.0062	0.0161	0.0076	0.0035	-4e-04	-0.0223	-0.0096	9e-04	0.0029	0.0086
HG00185	0.0101	-0.002	0.0099	-0.0108	-0.0244	-0.0195	0.0152	0.0064	-0.0069	-0.0028	-0.0132	7e-04	0.0018	0.0014	0.0087	0.0131	-0.0016	0.0093	0.0031	-9e-04
HG00186	0.0065	0.0334	8e-04	4e-04	0.0067	0.0023	0.0178	0.0339	0.0015	0.0143	0.0091	-0.0109	0.0027	0.0046	0.004	-0.0038	-0.0083	-0.0068	-0.0037	0.0113
HG00187	0.0025	0.0312	3e-04	-7e-04	3e-04	-0.0078	0.0044	-0.0049	0.0019	-7e-04	-0.0017	-0.0076	-0.0017	0.0046	0.0029	0.0165	0.0056	0.0098	-0.0076	-0.0147
HG00188	0.0092	0.0111	0.0044	-6e-04	-0.0029	0.0054	0.0101	0.0157	-3e-04	-0.001	0.0052	0.006	-0.0015	-0.0014	-0.0062	-0.012	-0.007	9e-04	-0.0071	0.0015
HG00189	0.0082	0.0087	0.0024	-0.0017	-0.0038	0.0039	0.0117	0.0107	-0.0168	0.0074	-0.0034	-0.0138	7e-04	0.002	0.0104	0.0147	0.001	0.0013	-5e-04	0.0036
HG00190	0.009	0.016	0.0041	-0.0036	-0.0087	0.0019	0.0118	0.0088	-0.0096	0.0144	-8e-04	-0.0133	0.0029	6e-04	0.0055	0.0044	-0.0072	0.0036	-1e-04	0.0148
HG00231	0.0065	0.0133	0.0032	-0.0052	-0.0078	-0.0031	0.0172	0.0185	-0.0094	-0.0082	-0.011	0.0084	0.0033	0.0047	0.0087	0.0024	-0.0022	0.0022	0.0018	-0.0039
HG00232	0.0094	0.0097	0.0074	0.002	0.0047	0.0127	0.0068	0.0092	-0.012	0.004	0.0095	-0.0058	-0.0061	0.0062	-0.0013	3e-04	-0.0079	0.0038	-0.0043	0.0053
HG00233	0.0073	0.0157	0.0039	-0.0054	-0.0103	-0.0122	0.0174	0.0238	-0.003	0.0063	-0.0029	-0.0067	0.004	0.0015	0.0059	0.007	0.002	-0.0023	0.0024	0.0116
HG00234	0.0079	0.0131	0.004	-0.0024	-0.0069	-8e-04	0.0052	0.0011	0.0097	-0.0039	0.0027	0.008	0.0031	-0.0023	-0.0114	-0.0168	-0.0068	-0.0036	-0.0079	0.007
HG00235	0.0047	0.036	0.0014	-0.0031	0.0029	0.0012	0.0144	0.0138	-0.007	-0.0069	-0.011	1e-04	0.003	0.0053	0.0086	0.0099	-0.002	-0.0049	0.0034	-0.0039
HG00236	0.0044	0.0259	-0.0028	0.0056	0.0124	0.0131	0.0057	0.0078	-0.013	0.0119	0.011	-0.0227	-0.0099	0.005	0.0023	0.0282	0.0202	0.0043	-0.0123	-0.0047
HG00237	0.0087	0.0142	0.0039	-0.0061	-0.0087	-0.0103	0.0101	0.0241	0.001	-0.0059	0.0019	0.0046	0.0062	0.0018	-8e-04	-0.0139	-0.012	-0.0023	-0.0023	1e-04
HG00239	0.0086	0.0081	7e-04	-0.0043	-0.0113	-0.0082	0.0012	0.0059	0.0087	-0.0049	-0.0057	0.0071	0.0088	-0.002	-0.0027	-0.0083	-6e-04	0.0042	0.0016	-9e-04
HG00240	0.0077	0.0166	0.0087	-0.0058	-0.0073	-0.02	0.0055	6e-04	0.0096	-0.0032	-0.006	-0.0059	0.0037	0.0021	0.0025	0.0121	-0.0039	0.002	0.0013	-0.002
HG00242	0.0065	0.03	-5e-04	0.0014	0.0143	0.008	0.011	0.0286	-0.0058	-0.001	0.0041	-0.0077	0.0029	-5e-04	0.0063	9e-04	-0.0094	-0.0102	-0.0034	-6e-04
HG00243	0.0071	0.0147	0.0036	-0.0055	-0.009	-0.0137	0.0038	0.0056	9e-04	-0.0022	-0.0042	-0.0037	0.0054	-0.001	0.0057	0.0037	-0.0065	4e-04	2e-04	-0.0087
HG00244	0.0047	0.0166	0.0046	-0.0093	-0.0183	-0.0108	0.0094	-0.0068	-0.0136	-0.006	-0.0123	0.0057	-0.0013	0.0017	0.0066	0.0077	0.0052	0.0065	0.0029	-0.0101
HG00245	0.006	0.0144	0.005	-0.0068	-0.0126	-0.01	0.0065	0.0049	-0.0092	-0.003	-0.0082	-0.003	0.0036	2e-04	0.0106	0.0086	-0.0049	0.0031	-0.0037	-0.0072
HG00246	0.0084	0.0146	0.0032	-0.0038	-0.0071	-0.0053	0.0183	0.0224	-0.0043	0.006	-1e-04	-0.0028	0.0042	-0.0014	0.0044	-0.0015	-0.0028	-0.0045	-4e-04	0.0122
HG00250	0.0067	0.0152	0.0043	-0.0062	-0.0125	-0.0136	0.003	0.0042	0.0083	-0.0071	-0.0098	0.0038	0.0082	-8e-04	0.0018	0.0034	-0.0011	0.0061	-0.0034	0.005
HG00251	0.0036	0.0312	-2e-04	-9e-04	0.0033	3e-04	0.0039	0.0105	0.007	-0.0062	-0.0011	0.0044	0.0043	0.0088	0.0022	-0.0035	-0.0032	0.0015	-0.0023	-0.0023
HG00252	0.0093	0.0102	0.0018	-0.0066	-0.0096	-0.0214	0.0038	0.0182	0.0079	-0.0118	-0.0144	-0.0052	0.0115	0.0022	9e-04	0.015	0.001	-0.0089	0.0122	-9e-04
HG00253	0.0084	0.014	0.0036	-0.0064	-0.0083	-0.0107	0.0063	-2e-04	-0.0024	-0.0027	-0.0125	-0.005	0.0061	0.0023	0.0046	0.0071	0.0051	-0.0022	0.0026	-0.0051
HG00254	0.0044	0.0289	0.0015	-0.0021	0.0039	0.0021	0.0017	7e-04	-0.0101	-0.0167	-0.0115	0.0082	0.0022	-0.0012	0.0068	0.0073	-0.0106	0.0047	-0.0045	-0.024
HG00255	0.0048	0.0268	-0.0031	0.0045	0.0084	0.0025	-0.001	-0.0047	0.0045	-0.01	-0.0111	-0.0137	0.0052	-0.0019	0.0037	0.0218	0.0069	0.0134	-0.0182	-0.0257
HG00256	0.006	0.017	0.0039	-0.0071	-0.014	-0.0152	0.0046	-0.0077	5e-04	-0.0063	-0.0113	0.0093	0.0031	-0.0023	0.0024	0.0057	-9e-04	0.0052	0.0032	-0.0052
HG00257	0.002	0.028	-0.0011	-4e-04	0.0056	-1e-04	0.0021	0.0016	0.0022	-0.0201	-0.0106	0.0053	0.001	0.0029	-0.0015	0.0098	0.002	0.0069	-0.0091	-0.0276
HG00258	0.0068	0.0149	0.0031	-0.006	-0.0117	-0.0099	0.0097	0.0051	-3e-04	-0.0043	-0.0118	0.0042	0.0029	0.0039	0.0038	0.0105	0.0049	0.0024	0.0021	0.0061
HG00259	0.0046	0.0348	6e-04	-0.0015	0.0025	-0.0129	0.0065	0.0079	0.0091	0.0012	-5e-04	-0.013	0.0036	0.004	0.0034	0.0149	-0.0055	0.0025	-0.0093	-0.0192
HG00260	0.0042	0.0332	2e-04	-0.0022	0.0037	-0.0068	0.0092	0.0144	0.0037	-0.0084	-0.0045	-0.0033	2e-04	0.0033	0.0018	0.0129	3e-04	0.007	-0.0119	-0.0242
HG00261	0.0058	0.032	5e-04	0	0.0041	0.0028	0.0072	0.0135	-0.002	-0.0167	-0.0086	0.0083	0.0057	0.0046	0.0016	0.0048	-0.0044	0.001	-0.0033	-0.0115
HG00262	0.0061	0.0335	-4e-04	-0.0013	0.0031	-0.0048	0.005	0.0118	0.0082	0.009	-0.0015	-0.009	0.009	-1e-04	-0.0012	-0.0038	0.0023	-0.0104	0.0024	0.0177
HG00263	0.0074	0.0273	0	0.004	0.0078	0.0244	0.0024	-0.0209	-0.0424	0.0028	-0.0058	-0.0201	-0.0063	0.004	0.0086	0.0315	0.0131	0.0037	0	-0.0031
HG00264	0.0109	0.0127	0.0043	-0.0032	-0.0043	0.0027	0.0079	0.0083	-0.0102	-0.004	-0.0059	0.0028	0.0036	0.0018	-7e-04	0.001	-0.0014	-0.0015	0.0014	0.0012
HG00265	0.0055	0.032	1e-04	-9e-04	0.0035	1e-04	1e-04	0.0053	0.0058	0.0052	0.0046	-0.0054	3e-04	-9e-04	-0.0026	-0.0026	-0.0031	-7e-04	-0.0031	0.0057
HG00266	0.01	-0.0039	0.0059	-0.0093	-0.0191	-0.0206	0.0099	0.022	0.0032	-0.0015	-0.0086	-2e-04	0.0101	0.0027	0.0055	1e-04	-0.0042	-0.0074	0.0082	0.0131
HG00267	0.009	0.0102	0.0029	-4e-04	-0.0052	0.0034	0.004	-0.0077	-0.0115	0.0016	-1e-04	-0.0117	-0.0014	-0.0017	-0.0026	0.0133	0.0043	0.0026	-0.0104	-0.0078
HG00268	0.0098	0.0131	0.0032	-0.0043	-0.0089	-0.0119	0.002	0	0.0063	-0.0103	-0.0133	0.0076	0.006	0.0025	-0.0051	0.0051	0.0079	-0.0023	0.0095	0.0087
HG00269	0.0096	0.0087	0.0031	-4e-04	2e-04	0.0011	0.0023	0.0045	-0.0064	-0.0065	-0.0019	-0.0083	-0.0025	-0.0024	0.0031	0.0154	0.0051	0.0047	-0.004	-0.0014
HG00271	0.0115	-0.0035	0.007	-0.009	-0.0228	-0.0206	0.0133	0.0112	0.0075	-0.0084	-0.0185	0.0081	0.009	0.0044	0.0018	0.0082	0.002	0.005	0.0046	0.0088
HG00272	0.0119	-8e-04	0.008	-0.0108	-0.0243	-0.0139	0.0251	0.0222	-0.0088	0.0057	-0.006	-0.0013	-0.0026	-0.0011	0.0112	0.0079	4e-04	0.012	-9e-04	0.0017
HG00273	0.0102	0.0097	0.0041	-8e-04	-8e-04	0.0063	0.0178	0.0312	-0.0031	0.0049	0.0072	0.001	-0.003	-2e-04	0.0084	-0.0056	-0.0095	0.0091	-0.0098	-0.0029
HG00274	0.0062	0.0237	-0.0017	0.004	0.0126	0.0069	-0.003	0.0023	-0.0053	-0.0114	-0.0036	-0.0154	-0.0015	0.0044	-2e-04	0.031	0.0156	0.0023	-0.0059	-4e-04
HG00275	0.0112	0.0118	0.0035	-9e-04	-0.0033	0.0124	0.0176	0.0214	-0.0199	0.0108	5e-04	-0.0038	0.0025	0.0073	0.0116	0.0035	-0.0116	0.0046	-0.0021	0.0126
HG00276	0.0077	0.0132	0.0025	-0.0033	-0.0067	-0.0093	0.0097	0.0151	0.0042	0.0058	-5e-04	-0.003	0.0047	0.0056	0.0042	-0.0011	-0.0052	-0.0031	0.0033	0.0135
HG00277	0.0026	0.0305	-3e-04	-0.0021	0.0018	-8e-04	4e-04	-0.0029	0.0079	-0.0015	-4e-04	-0.0019	0.0051	0.0032	-0.0099	-0.0077	-0.0035	-0.0048	0.0023	0.0171
HG00278	0.0065	0.0204	0.0069	-0.0047	-0.0096	-0.0174	0.008	0.0077	0.0074	0.0108	0.0112	-0.0064	-0.0041	0.0029	0.0019	5e-04	-0.0068	0.0112	-0.0111	-0.0014
HG00280	0.0122	-0.0064	0.0065	-0.0063	-0.0198	-6e-04	0.0159	-0.0031	-0.0178	0.0054	-0.0102	-0.0065	0.0025	0.0029	0.0073	0.0093	-0.0039	0.0068	-0.0019	0.0057
HG00281	0.0088	0.0083	0.0022	-0.0013	-0.0029	0.0024	0.0047	0.0063	0.004	-0.0066	0.0018	0.0092	-4e-04	1e-04	-0.0088	-0.0076	-0.0026	0.0021	-0.0054	-0.0045
HG00282	0.0091	0.0096	0.0029	-0.0018	-0.0023	0.0042	0.0122	0.0286	-0.002	2e-04	0.0041	0.0045	0.0018	0.0014	0.0014	-0.0116	-0.0085	0.0015	-0.0011	0.0041
HG00284	0.0088	-0.0073	0.0053	-0.0068	-0.0165	-0.0185	0.0102	0.0241	0.0127	-0.0033	0.0052	-0.0037	-0.0036	-0.0042	0.0027	0.0056	-0.0101	0.0176	-0.0202	-0.0284
HG00285	0.0044	0.0253	-0.0011	0.0027	0.0082	0.0035	-0.0048	0.0016	0.0043	-0.0172	-0.0017	0.0069	-0.0054	-8e-04	-0.0062	0.0082	0.0173	0.0091	-0.0053	-0.0043
HG00288	0.0067	0.028	-3e-04	7e-04	0.0083	-0.0058	-0.0047	9e-04	0.0102	-0.018	-0.013	0.0026	0.0083	0.0046	-0.0054	0.0133	0.0117	-0.0075	0.0036	0.0018
HG00290	0.0074	0.031	3e-04	0.0019	0.0107	0.0116	0.0177	0.0331	-0.0017	0.0073	0.0087	-0.0043	-9e-04	0.0038	0.0039	-0.0065	-0.0064	-0.0016	-0.0066	0.0047
HG00304	0.0107	-2e-04	0.0079	-0.0118	-0.0233	-0.0193	0.0188	0.0247	0.0025	-0.0043	-0.0117	6e-04	0.0111	0.0053	0.0068	0.003	-0.014	0.0014	0.0049	0.0105
HG00306	0.0073	0.0257	-5e-04	0.0038	0.012	0.0077	0.0065	0.0241	0.0077	-0.0037	0.0071	0.0047	0.003	0.004	-0.0023	-0.0056	-0.01	0.0035	-0.0104	-0.0072
HG00308	0.0064	0.0182	-0.0037	0.0041	0.0098	0.0107	-0.0051	0.0041	0.0046	-0.0056	0.0057	0.0069	-0.0049	-0.0018	-0.004	-0.0057	9e-04	0.0039	-0.0066	-0.0152
HG00309	0.0121	-0.0038	0.0071	-0.0062	-0.0168	-0.0035	0.0156	0.0194	-0.016	0.0148	0.0092	-0.0076	-0.0064	-0.0018	0.006	-0.0016	-0.0067	0.0057	-4e-04	0.0107
HG00310	0.0062	0.0325	0.0023	4e-04	0.0088	0.0092	0.0189	0.0402	-0.0047	0.0036	0.009	-0.0011	-2e-04	0.0031	0.0048	-0.0058	-0.0111	-0.0014	-0.0049	0.0111
