indv	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
NA18642	0.009	-0.0203	-0.0118	0.0059	0.024	-0.0309	-0.0103	-0.0089	0.0168	-0.0113	-0.0135	-7e-04	0.0052	-0.0031	0.0035	0.0193	0.0168	-0.0087	0.0104	-0.005
NA18643	0.0124	-0.0198	-0.0062	0.004	0.0133	-0.0064	0.0013	0.0076	0.0071	-0.0021	-5e-04	0.0053	0.0017	0.0033	0.0059	0.0024	-2e-04	-0.0011	0.0089	0.0109
NA18644	0.0106	-0.0199	-0.0115	0.0075	0.025	-0.0163	-0.0022	-0.001	0.011	-0.0018	-0.0082	-0.0061	0.0037	-0.0013	0.0052	0.0141	0.0139	-0.0068	0.0036	0.0085
NA18645	0.0121	-0.0251	8e-04	0.0015	1e-04	-0.0058	-0.0106	9e-04	0.024	0.0063	0.0042	6e-04	0.0066	0.0029	0.0024	-0.0092	-0.0079	-0.0022	-0.0021	-0.0036
NA18646	0.0124	-0.0231	-0.0108	0.0111	0.0307	0.0075	0.003	7e-04	-0.011	0.0065	0.0037	-0.0014	-0.0021	1e-04	0.0054	-0.0039	0.0046	-0.0065	0.0031	0.0148
NA18647	0.0109	-0.0241	9e-04	0.003	0.003	-4e-04	-0.001	0.0163	0.009	0.0057	0.0166	-0.0166	-0.0027	-8e-04	3e-04	-6e-04	-0.0054	0.0052	-0.0165	-0.0215
NA18648	0.0115	-0.0206	0.0028	-4e-04	-0.0084	0.0045	-0.0067	-0.0079	0.0047	-0.0014	7e-04	0.0084	-0.0022	0.0081	0.0025	-0.0095	-0.0089	0.0062	0.0014	0.0054
NA18740	0.013	-0.0247	-0.0016	0.0037	0.0055	0.0068	-0.002	0.009	-0.0022	-0.0023	4e-04	-0.001	-0.0015	0.0015	0.0043	0.0047	0.0056	-0.0018	0.0064	0.0125
NA18745	0.0115	-0.0257	-0.0016	0.0034	0.0028	0.004	8e-04	0.0082	0.0014	-0.003	-0.002	-0.0176	-1e-04	-0.0015	-0.0013	0.0224	0.0102	0.0018	0.0037	0.0022
NA18747	0.0151	-0.0195	0.0024	0.0017	-0.0034	0.0118	0.0069	0.0022	-0.015	0.0058	-0.0071	-0.0087	-3e-04	0.0056	0.0067	0.018	0.0059	0.0037	0.006	0.0187
NA18748	0.0129	-0.0242	0	0.0024	2e-04	0.0055	-0.002	-0.0014	-0.0022	-0.0014	-0.0072	-0.0062	0.0019	-0.0018	6e-04	0.0138	0.012	-0.006	0.0082	0.0115
NA18749	0.0102	-0.0217	-0.0099	0.0086	0.0249	-0.0142	-0.0032	0.0062	0.0154	0.0122	0.01	-0.0045	0.0024	0.0035	0.0026	-0.0145	-0.0126	-0.0052	0.0016	0.0027
NA18757	0.0117	-0.0248	-0.0072	0.0081	0.0179	0.005	-0.006	-0.0015	0.0074	0.0102	0.0141	-0.0076	-0.0027	-0.0019	0.0047	-0.004	-0.0092	0.0028	-0.009	-0.0142
NA18852	-0.0319	-0.023	0.0281	-0.0204	-0.0121	0.023	0.0394	-0.0062	0.0339	0.0191	-0.005	0.0116	-0.0277	0.0139	0.0444	-0.0363	0.0332	-0.0376	-0.0024	-0.0209
NA18853	-0.0337	1e-04	-0.0529	0.0095	0.004	0.0084	-6e-04	-0.0212	-1e-04	-0.0161	-0.0055	0.039	-0.0028	-0.0017	0.0488	-0.0202	0.0251	-0.0264	0.0255	0.0237
NA18855	-0.0298	-0.0088	-0.0214	0.0018	-0.0286	0.0068	0.0579	-0.0037	0.0182	0.0155	-0.031	0.0093	-0.0553	-0.0211	-0.0538	-0.0113	-0.0274	0.0029	-0.067	0.0272
NA18856	-0.0471	-0.0066	0.0525	-0.0159	0.0342	0.0207	0.0375	-0.027	0.0098	-0.018	-0.0486	0.0019	-0.0152	-0.0057	0.0589	0.0042	0.025	-0.0515	0.0095	8e-04
NA18858	-0.0322	0.003	-0.0513	0.0087	0.0085	-0.0148	-0.0022	-0.0022	-0.02	-0.0035	0.01	-0.023	0.0164	-0.0188	0.0301	-0.0292	0.046	0.0056	0.033	-0.0376
NA18859	-0.0264	-0.0111	-0.0332	-0.0072	-0.0272	0.0031	-0.0264	-0.0101	-0.0101	-0.0386	0.0118	0.006	0.0019	0.0017	0.0159	0.014	-0.0139	-0.015	0.0081	0.0154
NA18861	-0.0232	-0.0181	-0.0061	-0.0163	-0.0489	-0.0253	0.0129	0.0292	-0.0189	0.022	0.012	-0.0248	0.0014	0.0014	-0.0202	-0.0425	0.0588	0.033	0.0021	-0.0372
