indv	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
HG00096	-0.0096	-0.0216	0.0084	0.013	0.0013	-3e-04	0.0035	0.0107	-0.004	0.0112	-0.0115	-0.0029	-0.0022	2e-04	0.0029	-0.001	0.0028	0.0084	-0.0025	-0.0021
HG00097	-0.0086	-0.0211	0.0117	0.0047	0.0025	-0.0047	0.001	0.0051	0.0049	0.0045	0.0044	-1e-04	-0.0048	0.0076	0.0031	0.0012	0.0059	0.0035	-0.0056	-7e-04
HG00099	-0.0093	-0.0193	0.0163	0.0066	0.001	0.0023	0.0041	-0.0047	-0.0045	0.01	-0.0057	0	-0.0021	-0.0028	-0.0011	0	0.005	2e-04	0.0055	0.0015
HG00100	-0.0092	-0.0225	0.0141	0.0155	0.0017	0.0031	0.0057	-0.0135	6e-04	-0.0036	0.008	0.002	0.0024	0.0026	-4e-04	-0.0016	0.0054	-0.0034	-8e-04	0.0042
HG00101	-0.0099	-0.0237	0.0134	0.0104	5e-04	-0.0017	0.0029	0.0014	0.0015	-0.0039	-3e-04	0.0016	0.0035	0.0011	-6e-04	-3e-04	-0.0013	-0.0017	0.0045	0.0015
HG00102	-0.0095	-0.0243	0.0178	0.0111	0.0037	0.0014	0.0037	-0.007	0.0075	-0.0027	0.004	-0.0036	0.0025	0.0076	0.0027	0.0021	0.0069	-0.0014	-0.0035	-0.0015
HG00103	-0.0106	-0.0232	0.0182	0.0043	0.0028	-3e-04	9e-04	0.0032	0.0017	0.007	-0.0031	0.0019	-0.0022	0.0021	0.0017	0.001	0.0059	0.0017	3e-04	-0.0023
HG00105	-0.0095	-0.0255	0.0253	0.0078	0.0011	-0.0052	-0.0035	-0.0066	0.0084	-0.0047	0.0093	-0.0066	0.0034	0.007	0.0074	-4e-04	-3e-04	-0.0036	-0.0062	1e-04
HG00106	-0.0099	-0.0173	0.0125	0.0108	0.0025	-3e-04	0.0038	-0.0146	0.0039	4e-04	0.0076	2e-04	0.0028	0.002	3e-04	-0.0013	0.0059	-0.003	-0.0016	-6e-04
HG00107	-0.0078	-0.0255	0.0106	-0.0012	-3e-04	-0.0029	0	9e-04	0.0033	-0.0046	-0.0038	-0.0064	3e-04	0.0032	-6e-04	0.0022	-6e-04	-0.0046	-0.0034	-0.0029
HG00108	-0.0092	-0.0232	0.0123	0.0112	3e-04	-0.0057	0.0053	-0.0018	-0.003	-4e-04	-0.0013	0.0051	4e-04	-0.0022	-0.0049	0.0033	-0.0025	-6e-04	0.003	0.0024
HG00109	-0.0107	-0.0228	0.0168	0.0095	8e-04	-0.002	3e-04	-0.0018	0.0034	-0.001	8e-04	-0.0048	0.0065	0	0.0026	0.0012	0.002	-0.0013	-0.0025	-9e-04
HG00110	-0.0107	-0.0264	0.0129	0.007	-0.001	-0.002	0.0025	0.0021	-5e-04	0.001	-0.0028	4e-04	0.0026	-0.0011	-0.001	-0.0015	3e-04	0.0012	-0.0029	-4e-04
HG00111	-0.0081	-0.0182	0.0166	-0.0038	-0.0034	0.0013	-9e-04	-0.0052	0.0018	-0.0077	0.0057	-3e-04	0.0027	5e-04	-0.0014	0.0014	-0.0025	-0.004	0.0019	0.0056
HG00112	-0.0081	-0.0226	0.0149	0.0109	2e-04	-1e-04	1e-04	0.0087	-0.0063	0.0099	-0.0059	-0.0038	-0.0105	-0.0065	-0.0021	-8e-04	-0.0032	0.0015	-6e-04	0.0028
HG00113	-0.0105	-0.0232	0.0131	0.0024	0.0029	9e-04	-0.0018	0.0011	0.0106	-0.0045	0.0044	-0.0042	0.0057	0.0094	0.0051	1e-04	0.0011	0.002	-0.0035	-0.0049
HG00114	-0.0087	-0.0189	0.0116	0.0013	0.002	-0.0045	0.002	0.0012	-3e-04	0.0054	6e-04	-0.0015	-0.0033	0.0014	-0.0012	0.0019	-9e-04	0.0035	-0.0039	0
HG00115	-0.0102	-0.0144	0.0065	0.0026	-0.0017	0.001	-0.0017	-0.0071	0.0029	-0.0042	0.0064	-2e-04	0.0011	7e-04	1e-04	6e-04	-0.0057	-0.0033	0.0026	6e-04
HG00116	-0.0101	-0.0259	0.0157	0.0124	-6e-04	-0.0068	-0.0029	0.0049	0.0039	0.002	5e-04	-0.0086	-0.0014	0.0069	0.0079	-9e-04	-0.0011	0.0083	-0.01	-0.001
HG00117	-0.0106	-0.0199	0.0165	0.0073	-4e-04	-0.0043	0.0037	0.0051	-7e-04	0.009	-0.007	-0.0047	-5e-04	7e-04	0.0042	6e-04	0.0035	0.0042	-0.003	-0.006
HG00118	-0.0085	-0.0225	0.012	-0.0032	-0.0024	-9e-04	0.0039	0.0016	-0.0034	0.0021	-0.0031	0.004	-4e-04	-0.0015	-0.0037	0.0042	-0.0038	-0.0039	0.008	0.0072
HG00119	-0.0104	-0.0256	0.016	0.0153	0.0025	-0.0077	0.0029	0.0014	0.0032	0.0041	0.0033	0.0011	-0.0042	0.0048	-0.0016	9e-04	0.0032	0.008	-0.0095	5e-04
HG00121	-0.0085	-0.0217	0.0122	0.0092	0.0012	0.0015	0.004	-0.0062	-0.0019	0	-9e-04	-0.0056	8e-04	0.0081	9e-04	-0.0071	0.0081	0.0051	-0.0085	-0.0051
HG00122	-0.0098	-0.0227	0.0138	0.0039	-1e-04	-0.0031	-5e-04	-0.0029	2e-04	0.0032	0.001	-0.0021	0.001	-1e-04	-1e-04	-5e-04	0.0013	-0.0014	0.0018	0.0013
HG00123	-0.0084	-0.0198	0.0196	0.0045	-0.0031	-0.0026	-0.0021	-0.0065	0.0054	-0.0048	0.0065	-0.0062	0.0029	0.0016	0.0023	0	-0.0016	-0.0035	-0.0013	0.0045
HG00125	-0.0082	-0.0237	0.0085	0.0123	1e-04	-0.0034	-8e-04	-4e-04	0.0024	0.0032	-3e-04	-0.0094	-0.004	0.004	0.0055	-0.002	0.004	6e-04	-0.0064	-0.0046
HG00126	-0.0096	-0.0225	0.0154	0.0151	4e-04	0.0011	0.0059	-0.0017	-0.0036	0.0027	-6e-04	0.0029	-0.0014	-0.0032	-0.0038	5e-04	0.0046	-5e-04	0.0048	-9e-04
HG00127	-0.0086	-0.0233	0.0111	0.0106	0.0039	0.0011	0.0011	-0.0043	0.0045	-0.001	0.001	-0.0058	-0.0036	0.0119	0.006	-0.0033	0.0049	-4e-04	-0.0026	-0.0051
HG00128	-0.0112	-0.0211	0.017	0.0117	0.0032	-0.0028	0.002	0.0105	-0.0062	0.0145	-0.0127	-0.0014	-0.0078	-0.0044	-0.0011	-1e-04	0.0044	0.0022	-0.0038	-0.0064
HG00129	-0.0103	-0.0246	0.0097	0.0117	-6e-04	-0.0085	0.0018	0.0046	-6e-04	0.0013	2e-04	0.0054	-0.0027	1e-04	-0.0026	0.0023	-0.0074	0.0069	0.001	0.0026
HG00130	-0.0106	-0.0275	0.0185	0.0153	7e-04	-0.0037	-0.0019	-0.005	0.0139	-0.0069	0.008	-0.0111	0.0058	0.0123	0.0095	-0.002	0.0045	0.0014	-0.0127	-0.0047
HG00131	-0.0094	-0.0138	0.0157	0.0025	0.002	0.0057	-0.0042	-0.0061	-0.0038	0.0106	6e-04	-0.0055	-0.0072	-0.0025	-0.0029	-6e-04	0.0031	0.0041	-0.003	0.005
HG00132	-0.0093	-0.0193	0.0146	0.0109	0.0043	0.0026	-0.0019	-0.0054	0.0062	8e-04	0.0048	-0.0039	-0.0041	0.0064	0	-0.0025	0.0072	-0.0038	-0.0075	-0.0046
HG00133	-0.0098	-0.0212	0.0133	0.0067	-2e-04	-0.0096	-0.0011	0.0064	-2e-04	0.0068	-0.0041	-3e-04	-0.0035	-2e-04	8e-04	0.0019	-0.0065	0.004	0.0031	5e-04
HG00136	-0.0092	-0.0214	0.0099	-0.0018	1e-04	-0.0067	0.0053	0.0083	-0.0058	0.0104	-0.004	0.0059	-0.0058	-0.0055	-0.0043	0.0013	-0.0056	0.0061	0.0032	-3e-04
HG00137	-0.0103	-0.0259	0.0144	0.0119	0.0022	-6e-04	0.0042	0.0011	8e-04	0.0084	-0.0014	0.003	-3e-04	0.0061	3e-04	-0.0016	0.0068	0.0035	0.0014	-0.0036
HG00138	-0.011	-0.0249	0.0187	0.0104	0.0026	-0.0023	0	-3e-04	0.0048	0.002	0.0036	-0.0015	0.0018	0.0069	0.0038	-0.002	0.0048	0.0013	-0.0034	-0.0037
HG00139	-0.0096	-0.0276	0.0207	0.0095	0.004	0.0017	0.001	-0.002	0.0077	-0.0011	0.005	-4e-04	1e-04	0.0124	0.0055	-0.0031	0.0081	0.0051	-0.0025	-0.004
HG00140	-0.0103	-0.0262	0.0144	0.0055	-0.001	-0.0047	0.0015	0.0049	0.0025	0.0018	-0.0038	-0.0043	0.0018	0.0016	0.002	-5e-04	0.0015	0.0025	-0.0028	-0.0052
HG00141	-0.0085	-0.0244	0.0168	0.0074	4e-04	-0.0027	2e-04	-0.0061	0.0096	-0.0058	0.0069	-0.0085	0.004	0.0092	0.0056	-0.0027	0.0074	-0.0041	-0.0075	-9e-04
HG00142	-0.01	-0.0222	0.0151	0.0181	0.0031	-5e-04	7e-04	-0.0029	-5e-04	0.0082	-0.0025	-0.0039	-0.0015	-8e-04	0.0029	-9e-04	0.0093	-0.0032	-0.0029	-0.0043
HG00143	-0.0111	-0.0228	0.0124	0.009	-2e-04	-0.0052	0.0016	0.0093	-0.0055	0.0109	-0.0102	-0.004	-0.0026	-8e-04	0.0022	0	8e-04	0.0071	-0.0011	-0.0045
HG00145	-0.0097	-0.0174	0.011	-0.0046	4e-04	-0.0085	0.0016	0.0098	-6e-04	0.0057	-0.0061	-0.0034	3e-04	0.0035	0.0039	0.0025	-0.004	0.0029	0.0035	-0.0035
HG00146	-0.0088	-0.0211	0.0097	0.0111	-9e-04	-0.0021	-0.0029	-0.0089	0.0055	-0.0054	0.008	-0.0042	0.0036	0.0017	-2e-04	0.0013	-0.002	-0.0048	0.0014	0.0018
HG00148	-0.0094	-0.0211	0.0127	0.0085	0.0011	-1e-04	-0.0013	-0.0058	0.0056	-0.0019	0.0021	-0.0045	0.0035	0.0027	0.0035	0	0.0038	-0.0053	-0.0011	2e-04
HG00149	-0.0093	-0.0193	0.0121	-0.0069	-0.0011	-0.0049	-0.0042	0.0071	0.0054	0.0026	-0.0015	-0.0083	-4e-04	0.0057	0.005	-2e-04	-0.002	0.0066	-0.0075	-6e-04
HG00150	-0.0105	-0.0211	0.015	0.0096	0.004	0.0056	-9e-04	-0.0063	0.004	0.0053	0.0033	1e-04	-5e-04	0.0048	0.0019	-0.0034	0.0111	0.0033	-0.0052	-0.0022
HG00151	-0.01	-0.0213	0.0057	0.0123	-8e-04	-0.0031	0.0013	0.0026	0.0084	-0.0026	0.0036	-2e-04	0.0018	0.0062	0.0049	-4e-04	-4e-04	-7e-04	0.0032	-8e-04
HG00154	-0.0096	-0.0225	0.0179	0.0082	0.002	0.0031	0.0012	-0.0037	-9e-04	0.0085	-2e-04	-0.0054	-8e-04	0.0011	0.0041	-0.0025	0.01	0.0064	-0.0101	0.0012
HG00155	-0.0089	-0.0263	0.0115	0.0074	0.0025	-0.0041	0.0013	0.0043	0.0024	1e-04	-9e-04	-0.0075	0.0018	0.0077	0.0071	-0.0017	0.0019	-4e-04	-0.0083	4e-04
HG00157	-0.0094	-0.0186	0.0215	0.0079	4e-04	0.0057	-2e-04	-0.005	0.0056	0.0013	0.0034	3e-04	0.0025	0.0026	0.001	0.0015	0.0055	-0.0021	0.0065	0.0011
HG00158	-0.0087	-0.0221	0.0138	0.0013	6e-04	-0.0033	0	0.0024	-0.0048	0.0135	-0.009	-9e-04	-0.0057	-0.0057	-0.002	0.0019	0.0071	-0.0022	-0.0039	-0.005
HG00159	-0.011	-0.0185	0.0211	0	0.0013	0.0013	-7e-04	0.0038	-0.001	0.0071	-0.0035	-0.0052	-2e-04	0	0.0022	-0.0023	0.0027	0.0063	3e-04	-0.0033
HG00160	-0.0069	-0.0232	0.0207	0.0119	-0.0018	-0.0029	0.0025	-0.0109	0.0067	-0.0096	0.009	-0.0062	0.002	7e-04	7e-04	0.002	-0.0034	-0.01	-0.0026	0.0056
HG00171	-0.0112	-0.0194	0.0184	0.0166	0.0016	6e-04	0.0042	-0.008	0.0059	0.0028	0.006	-4e-04	-1e-04	0.0034	0.0035	-6e-04	0.0043	-5e-04	0.0032	1e-04
HG00173	-0.0095	-0.0207	0.0143	0.011	0.0027	-0.0012	0.0063	-0.0029	-0.0011	0.0024	0.0046	-0.0013	-0.0027	0.0011	-0.0022	-1e-04	0.0052	0.005	-0.0115	-2e-04
HG00174	-0.01	-0.0253	0.017	0.0045	-3e-04	-0.0052	0.0018	0.0046	0.0031	0.0012	-0.0062	-0.0033	-0.0013	0.0043	0.0045	0.0012	0.0014	-0.0032	0.0024	-0.0013
HG00176	-0.0088	-0.019	0.0197	0.019	0.0018	7e-04	0.0025	-0.0105	0.003	-0.0047	0.0083	-7e-04	6e-04	0.0047	1e-04	-0.0015	0.0039	-0.003	-0.0038	0.0023
HG00177	-0.0096	-0.0154	0.0134	1e-04	1e-04	-0.0021	0.0062	0.0072	-0.0033	0.013	-0.0095	9e-04	-0.0041	-8e-04	0.0036	0.0016	0.0033	0.0058	-4e-04	-0.0052
HG00178	-0.0098	-0.0128	0.0245	0.0123	0.0028	0.0065	-0.0028	-0.0103	0.0012	0.0056	0.0082	-0.0027	-0.0017	-3e-04	-0.0016	-0.0017	0.013	0.0016	-0.0085	-0.0031
HG00179	-0.0106	-0.0222	0.0174	0.0092	0.0047	1e-04	-7e-04	1e-04	0.0084	5e-04	0.0065	-0.0025	-0.0018	0.0081	0.0032	-0.0027	0.009	0.0029	-0.009	-0.006
HG00180	-0.0112	-0.0215	0.0183	0.005	0.0037	-0.0037	-2e-04	0.0078	-0.0023	0.0151	-0.0071	2e-04	-7e-04	0.0023	0.0026	-0.0021	0.0048	0.0097	8e-04	-0.0049
HG00181	-0.0091	-0.0228	0.0157	0.0137	-0.0011	-0.0035	0.003	-0.0034	0.003	7e-04	3e-04	-0.0064	7e-04	0.0051	0.0071	0.0017	0.0028	0.0015	-6e-04	0.0014
HG00182	-0.0119	-0.0213	0.0137	0.001	0.001	-0.0056	0.0045	-0.0012	0.0031	0.0072	-0.0014	-0.0061	-2e-04	0.0061	0.0067	-6e-04	0.0076	0.0048	-0.0044	-9e-04
HG00183	-0.0114	-0.023	0.0237	0.0067	8e-04	-0.0055	-0.0012	0.0011	0.0048	0.0018	-0.0011	-0.0055	0.0054	0.0053	0.0099	-0.0021	0.0018	-0.0011	0.0024	-0.0033
HG00185	-0.0106	-0.0201	0.0187	0.0042	1e-04	-0.0019	0.0024	-0.0015	0.0042	0.0031	-0.0023	-0.0024	0.0061	0.003	0.0056	1e-04	0.0041	-5e-04	0.0016	-0.001
HG00186	-0.0091	-0.0202	0.0214	0.0035	0.003	0.0043	0.0023	-0.0086	0.0044	0	0.0059	-0.0018	-0.0013	0.0064	5e-04	-0.0022	0.0103	9e-04	-0.0074	-0.005
HG00187	-0.0084	-0.0181	0.0233	0.008	0.0013	8e-04	0.0013	-0.0027	-2e-04	0.0058	0.0023	-0.0013	-0.0061	-4e-04	0.0023	-2e-04	0.0068	-0.0026	-0.0034	-0.0038
HG00188	-0.0106	-0.0182	0.0101	0.0053	0.0037	-0.0017	0.0015	0.0055	-0.0011	0.0133	-0.0067	-0.0028	-0.0012	-0.0031	0.0013	0.001	0.0055	0.0112	-0.0041	-0.0019
HG00189	-0.0105	-0.0176	0.0131	0.0094	0.0033	0.0023	0.002	-1e-04	-0.0045	0.0143	6e-04	-9e-04	-0.0023	-1e-04	2e-04	-0.0016	0.007	0.007	-0.0065	-0.0014
HG00190	-0.0087	-0.0248	0.0104	0.0134	0.002	-0.0023	-0.0014	0.0011	0.003	8e-04	0.0027	-0.0055	-0.0058	5e-04	0.0048	-4e-04	-0.0013	7e-04	6e-04	-0.0033
HG00231	-0.0112	-0.0222	0.0098	0.0053	0.0022	-0.0077	0.0025	0.0148	-0.004	0.0134	-0.0126	0.0017	-7e-04	0.0058	0.0044	5e-04	-1e-04	0.0098	-0.0036	-0.0096
HG00232	-0.0096	-0.0205	0.0151	0.0144	-1e-04	0.0011	0.001	-0.0056	-0.0057	0.004	0	0.0039	-0.0034	-0.006	-0.0087	8e-04	0.0022	-0.0047	3e-04	-0.0039
HG00233	-0.01	-0.019	0.0124	0.005	7e-04	-0.0032	0.0021	0.0044	-0.0029	0.0073	-0.0049	-9e-04	0.001	8e-04	0.0051	-4e-04	-9e-04	0.0045	0.0037	9e-04
HG00234	-0.0075	-0.0141	0.0034	0.0032	-0.004	-0.0084	-0.0033	0.0039	-0.0017	0.0031	-0.0054	-0.0023	0.002	-0.0049	0.0014	0.0036	-0.0106	-0.0017	0.0025	0.0031
HG00235	-0.0095	-0.0189	0.0248	0.0139	0.0036	0.0036	-8e-04	-0.0074	0.0062	0.0031	0.0086	-6e-04	-0.0038	0.0025	-0.0017	-9e-04	0.0075	0.0034	-0.0082	-8e-04
HG00236	-0.0096	-0.0167	0.0134	-0.0036	-0.001	-0.0052	0.0014	0.0075	-0.0064	0.0179	-0.01	0.0018	-0.0013	-0.0025	0.0015	0.002	6e-04	-0.0018	0.007	-0.0049
HG00237	-0.0105	-0.0208	0.0137	0.0015	-0.0014	-0.0054	-0.0019	0.0015	0.0027	-9e-04	0.0024	-0.0024	0	0.0029	0.0034	-0.001	-0.0017	-2e-04	-5e-04	0.002
HG00239	-0.0108	-0.0201	0.0105	0.0138	-0.0013	-0.0035	0.0038	-0.0051	-0.0033	0.0024	0.0035	0.002	0	-0.003	-0.0016	0.0019	0.0015	0.0016	2e-04	0.0024
HG00240	-0.0094	-0.0206	0.0167	0.0075	0.0019	-0.0051	-0.0021	0.0038	0.0018	0.0026	-6e-04	-0.0018	6e-04	0.002	0	0.0014	0.0023	0.0028	-0.0013	-0.0052
HG00242	-0.0092	-0.02	0.0151	0.0094	0.002	0.0024	0.0041	9e-04	-0.0078	0.0032	-0.0068	0.0047	0.0024	-0.0012	-0.0081	-0.0058	0.0014	0.0043	0.0088	-0.0043
HG00243	-0.0102	-0.0196	0.0086	0.0056	6e-04	0.0011	0.002	-0.0033	-0.0027	0.009	-0.0021	-0.0032	-7e-04	-0.0052	-3e-04	-2e-04	0.0072	0.0042	-0.0015	-0.0017
HG00244	-0.0098	-0.0128	0.0099	0.0019	-0.0018	-0.0043	0.0025	0.0026	0.0011	0.0078	0.001	-0.0017	0.001	-0.0033	0.0031	9e-04	-0.0027	0.002	0.0029	-0.0011
HG00245	-0.0105	-0.0239	0.0159	0.0111	0.0015	-0.0074	0.0017	0.0051	0.0036	0.0052	-4e-04	-0.0016	-0.0032	0.0081	0.0049	5e-04	-0.0022	0.0061	-0.0036	-0.0022
HG00246	-0.009	-0.0202	0.0213	0.0084	0.003	0.0017	-9e-04	-0.0068	0.009	-0.0028	0.0094	-0.0047	0.0024	0.0048	0.0043	-1e-04	0.003	6e-04	-0.0041	-0.0027
HG00250	-0.0092	-0.0234	0.0217	0.0042	0.0015	-0.0045	6e-04	-0.0048	0.0045	-0.0048	0.0019	-0.0034	0.0073	0.0044	0.0049	0.0016	0.0018	-0.0064	0.0069	-9e-04
HG00251	-0.0089	-0.0233	0.0154	0.0153	0.0029	-0.0039	-0.0013	-0.0028	0.004	-2e-04	0.0018	0	-0.0058	0.0034	0.0029	-0.001	-0.0027	-0.0074	7e-04	-0.0019
HG00252	-0.0094	-0.0255	0.0179	0.0125	-0.0027	-0.0039	-0.0049	-0.0094	0.0098	-0.0092	0.0086	-0.0074	0.0079	0.0038	0.0057	8e-04	0.0032	-0.006	-0.004	-0.0021
HG00253	-0.0084	-0.0272	0.0133	0.0175	-6e-04	-0.0063	0.004	0.0047	-0.0086	0.0066	-0.007	0.002	-0.0079	-0.0089	-0.0034	-7e-04	0.0013	0.0023	-0.0051	-0.0021
HG00254	-0.0093	-0.02	0.0109	0.0061	-0.002	-0.0053	-0.003	8e-04	9e-04	0	0.0023	-0.007	0.0042	-0.0017	0.0032	-0.001	-2e-04	-0.0032	-0.004	1e-04
HG00255	-0.0098	-0.0169	0.0049	0.012	-9e-04	8e-04	0.0061	-0.0033	-0.0055	0.0036	-0.0037	0.0027	-0.0022	-0.0045	-0.0042	-3e-04	0.0027	-4e-04	0.0052	0.0039
HG00256	-0.0079	-0.0257	0.0258	0.0111	6e-04	0.001	7e-04	-0.0026	0.0064	-0.0055	0.0034	-0.0039	0.0026	0.0093	0.0073	-0.0048	0.0038	-0.0028	0.0022	0.0015
HG00257	-0.0084	-0.0219	0.0162	0.0067	-0.0023	-0.0014	-0.0019	-0.0105	0.0064	-0.0062	0.0103	-0.0061	0.0031	0.0026	0.0034	-0.0031	3e-04	-0.0068	-0.004	0.0036
HG00258	-0.0098	-0.0233	0.0133	0.0047	-0.001	-0.0054	7e-04	0.0081	-0.0027	0.0111	-0.0089	-0.0041	-0.0012	3e-04	0.004	0.0014	0.0027	0.0057	-0.0023	-0.0046
HG00259	-0.0072	-0.021	0.0164	0.0089	8e-04	0.0042	0.0045	-0.0047	-9e-04	-0.005	0.0041	0.0043	0.002	-1e-04	-0.004	8e-04	0.0054	-0.0031	2e-04	3e-04
HG00260	-0.0081	-0.0226	0.0155	0.0178	0.0024	-0.0018	1e-04	-0.0096	0.0035	-0.0044	0.0115	0.0033	5e-04	0.0031	-6e-04	-1e-04	0.0037	2e-04	-0.0029	7e-04
HG00261	-0.0078	-0.0182	0.0194	0.0077	-0.0014	-0.0014	-0.0025	-0.0067	0.0111	-0.0094	0.0111	-0.0046	0.0053	0.0033	0.003	5e-04	-0.0012	-0.0062	-5e-04	0.0023
HG00262	-0.009	-0.0176	0.0144	0.0025	-1e-04	-0.0028	0.0018	-0.0054	0.0071	-0.0091	0.0096	-0.0013	0.0036	0.0073	0.0031	-0.0014	-0.0026	-0.0043	-6e-04	1e-04
HG00263	-0.0099	-0.0216	0.0229	0.0133	0.0064	0.0057	-0.0029	-0.0042	0.0012	0.0071	0.0046	-0.0014	-0.0074	0.0085	0.0015	-0.005	0.0096	0.0058	-0.0112	-0.0048
HG00264	-0.0089	-0.0218	0.018	0.0105	0.0011	-0.0016	0.0021	-0.0084	0.0064	-0.0037	0.0122	0.0022	-0.0024	0.0037	-0.0039	0.0015	0.0044	0.0018	-0.0034	0.0026
HG00265	-0.0096	-0.0229	0.0091	-5e-04	1e-04	-0.0039	0.0029	-0.0018	0.0039	0.0035	0.0022	-0.0041	0.0019	0.0048	0.0056	6e-04	0.0013	0.0022	-2e-04	-0.0027
HG00266	-0.0098	-0.0197	0.0173	0.0153	0.0025	-0.0014	0.0017	-0.0024	6e-04	0.0041	6e-04	-3e-04	-0.0012	0.0017	-0.0022	7e-04	0.0054	0.0055	-0.0025	-0.0026
HG00267	-0.0091	-0.021	0.0104	0.0114	-0.0034	-0.0027	0.0022	-0.0061	-0.001	0.003	4e-04	-0.0066	0.0046	-5e-04	0.0039	-9e-04	0.008	-0.0032	-0.0059	-0.0011
HG00268	-0.0104	-0.0203	0.0233	0.0068	0.0034	-0.003	5e-04	0.0038	0.0039	0.0025	-0.0022	-0.0028	0	0.0083	0.0068	-0.0029	0.0038	0.0042	-0.0036	-0.004
HG00269	-0.01	-0.0237	0.0178	0.0074	7e-04	-0.0033	0.0021	-0.0062	0.0072	-0.0077	0.0079	7e-04	0.0024	0.0072	0.0029	0.001	-0.0016	-0.0038	0.0029	0.0023
HG00271	-0.01	-0.0184	0.0218	0.0082	9e-04	0.0014	-3e-04	-0.0046	0.0069	-0.003	0.0075	-0.0073	0.0036	0.0069	0.0061	0.0014	0.004	0.003	-0.0021	5e-04
HG00272	-0.0107	-0.0239	0.0248	0.0131	0.0026	0.0022	3e-04	-0.0045	0.0026	0.0045	0.004	-0.004	0.0016	0.0025	0.0044	-1e-04	0.0071	-0.0024	0.0017	-5e-04
HG00273	-0.0086	-0.0248	0.0113	0.006	0.0013	-0.0015	0.0026	-0.0023	0.0016	0.0033	-0.0023	-0.0021	-0.0017	0.005	0.0054	0.0013	0.0031	-0.0024	0.0022	-8e-04
HG00274	-0.0099	-0.0156	0.0136	0.0064	0.0022	0.0011	0.0061	-0.0022	-9e-04	0.0077	-0.0042	-0.0014	-3e-04	0.0066	0.0037	3e-04	0.0058	0.0035	0.0027	-0.0019
HG00275	-0.0094	-0.0232	0.012	0.0073	0.002	-8e-04	0.0018	-0.0037	0.0055	-0.0022	0.01	0.003	-0.0024	2e-04	-0.0033	-0.0025	0.0028	-0.0017	-0.0079	-0.0032
HG00276	-0.0086	-0.0168	0.0205	0.0023	0.002	0.004	0.0027	-0.0059	2e-04	0.0063	1e-04	-5e-04	1e-04	0.0042	0.0013	4e-04	0.0092	-0.0013	0.0031	1e-04
HG00277	-0.01	-0.0173	0.0104	0.0106	0.0013	0.0018	0.0021	-0.0034	4e-04	0.0038	0.0012	-0.0049	-0.0027	0.0049	0.0034	-0.0026	0.005	0.0018	-0.0032	-0.0016
HG00278	-0.0104	-0.0194	0.0199	-0.0033	-6e-04	-0.0026	8e-04	-0.0021	0.0046	-2e-04	0	-0.0018	0.0019	0.0044	0.0042	0.0041	0.0016	-8e-04	0.0076	-4e-04
HG00280	-0.0092	-0.0213	0.0162	0.0121	0.0018	9e-04	0.0024	-0.0066	0.002	-0.0013	0.0056	-0.0028	-0.0043	0.0033	-0.0015	-0.0017	0.0089	-7e-04	-0.0083	-0.001
HG00281	-0.0102	-0.0197	0.0254	0.0049	-0.0011	-0.0069	0.0039	3e-04	0.0038	0.0064	-0.0042	-0.0014	-0.002	0.0021	-0.0015	0.0038	0.003	-1e-04	0.003	-0.0018
HG00282	-0.0102	-0.0152	0.0151	2e-04	0.003	-0.0012	-9e-04	-0.0015	0.0029	0.0057	-8e-04	-0.0049	-0.0013	0.0053	9e-04	2e-04	0.006	0.0036	-0.0044	-0.001
HG00284	-0.0116	-0.0186	0.017	0.0053	0.0033	-0.0049	0	0.0055	0.0065	0.0043	-5e-04	-0.0059	6e-04	0.0078	0.0066	-5e-04	0.0036	0.0062	-0.0057	-0.0032
HG00285	-0.0088	-0.021	0.0211	0.0033	-9e-04	-0.0075	3e-04	-0.0028	0.005	0.0011	0.0035	-0.0066	0.0012	0.0086	0.0061	0.0016	2e-04	0.0024	-0.0014	9e-04
HG00288	-0.0072	-0.0208	0.0194	0.0042	-0.0023	-0.0012	0.0096	-0.0031	-0.0056	0.001	0.0031	0.001	-0.0027	-7e-04	-0.0064	0.0053	0.0014	-5e-04	8e-04	0.006
HG00290	-0.0102	-0.0139	0.0232	0.0106	0.0053	0.0017	8e-04	-0.0122	0.0034	0.0055	0.0103	0.0028	-0.0051	0.0018	-0.0013	-0.0014	0.0071	4e-04	-0.0011	2e-04
HG00304	-0.0102	-0.0178	0.0216	0.0012	-0.0023	-0.0027	0.0044	-0.0048	4e-04	0.0065	-0.0013	-0.0052	0.0024	-8e-04	0.0035	0.0017	0.0057	0.0037	-0.0015	-0.0033
HG00306	-0.0094	-0.0219	0.0186	0.0058	-0.0014	-9e-04	0.0013	-0.0062	0.0102	-0.004	0.008	-0.0039	0.0055	0.0047	0.0042	-1e-04	0.0025	-0.0033	0.0015	0.0015
HG00308	-0.0096	-0.0212	0.0252	0.0068	0.004	0.0036	0.001	-0.0072	0.0063	0.004	-2e-04	-0.0042	-0.0021	0.0089	0.0037	-0.0031	0.011	-0.0039	-0.002	-0.0041
HG00309	-0.0094	-0.0216	0.0146	0.0143	0.003	-0.005	0.0013	-0.0043	0.0032	0.0102	0.0016	-0.0023	-0.0015	0.0047	0.0046	0.001	0.005	0.003	-0.0033	-0.002
