indv	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
HG01783	-0.0093	-0.0151	0.0169	0.0118	0.0015	2e-04	-2e-04	0.0015	-5e-04	0.0055	0.0013	-0.0021	-0.0018	0.0019	0.0053	-0.0024	7e-04	0.0021	-8e-04	-0.0025
HG01784	-0.0064	-0.02	0.0029	0.0174	-0.0011	-0.0041	0.0022	-0.0043	-0.0025	-0.0081	0.0021	0.0021	0.0052	0.0018	-0.0071	-9e-04	-0.0118	-0.0032	4e-04	0.0046
HG01785	-0.0073	-0.0212	0.004	0.0141	-0.0013	-1e-04	0.005	-0.0057	-0.0053	-0.0014	0.002	0.0026	-0.002	-0.0063	-0.0095	7e-04	0.0037	-0.0066	-0.0075	0.0044
HG01786	-0.0088	-0.0161	0.0151	0.0072	-0.001	-2e-04	0.0012	0.0018	7e-04	0.0029	-0.0094	0.0032	0.003	-0.003	-0.0013	0.0022	9e-04	-0.0037	0.0025	-0.0036
HG01789	-0.011	-0.023	0.0188	0.0014	0.0042	-0.001	8e-04	0.0019	8e-04	0.0077	-8e-04	5e-04	-0.0012	0.0103	0.0039	-0.0048	0.0065	0.0054	-0.0014	-0.0051
HG01790	-0.0093	-0.0244	0.0112	0.0077	0.0071	0.0028	-0.008	0.0027	-0.0053	0.0064	0.0063	-0.0164	-0.0033	0.0057	0.0026	-0.0067	0.0032	0.0057	-0.0118	-0.0066
HG01791	-0.0089	-0.0221	0.013	5e-04	0.0028	0.0021	0.0023	4e-04	0.0037	-9e-04	0.0047	-0.0013	-9e-04	0.0059	0.0034	-0.002	0.0054	0.0056	-0.006	0.0014
HG01794	-0.0083	0.0298	0.013	5e-04	-3e-04	-0.0026	-4e-04	0.004	-4e-04	0.0017	-0.005	0.0032	0.0033	9e-04	-8e-04	0.0027	-0.0049	-8e-04	0.003	0.0024
HG01796	-0.0095	0.0275	0.0105	0.0103	0.0015	5e-04	0	0.0034	-8e-04	0.0027	-0.0029	0.0048	-0.0033	-0.0045	-0.0035	0.0021	-0.0049	-5e-04	0.0078	0.0021
HG01797	-0.0093	0.03	0.0073	0.0143	8e-04	-0.0046	0.0016	0.0094	0.0016	-0.0015	-0.0047	-0.0036	1e-04	0.0024	0.0026	0.0036	-0.004	0.0017	-9e-04	0
