ID1	ID2	IBD_CM_SUM
HG00736	HG01311	6.024979
HG01464	HG01935	5.864456
HG01110	HG01398	7.233963
NA19310	NA19430	6.864597
NA19310	NA19404	6.468925
HG01097	HG01247	17.23514
HG01097	HG01171	15.51714
HG01097	HG01395	25.14653
HG02780	HG02789	29.84993
HG01852	HG02058	17.52434
HG01097	HG01403	7.033249
HG01110	HG01200	17.86493
HG01612	HG01675	6.264141
HG03989	HG04227	27.5
HG02259	NA19732	5.107826
HG01800	HG01805	12.67575
NA19331	NA19346	7.706581
NA19042	NA19468	33.18612
HG01377	HG01378	47.70836
HG03900	HG03986	7.491562
NA20875	NA21125	19.60192
HG01110	HG01205	31.07618
HG00736	HG01312	12.91213
HG03127	HG03163	13.00353
HG01377	HG01389	11.63867
HG01800	HG02408	5.307388
NA20875	NA21119	29.50124
HG00736	HG01395	37.54427
HG01852	HG02032	16.06272
HG00736	HG01187	44.44171
NA20507	NA20513	8.465416
HG01097	HG01164	45.48688
NA20512	NA20542	5.818848
NA19023	NA19321	14.41733
HG00736	HG01092	32.29419
HG00329	HG00383	6.879059
HG03127	HG03190	12.06586
HG00598	HG00634	5.133602
HG00736	HG01067	38.92602
HG01360	HG01362	6.531304
NA20512	NA20541	16.37774
HG03127	HG03298	7.845253
NA19042	NA19377	28.01068
HG02879	HG03247	5.047012
NA20875	NA21090	7.064899
HG01883	HG01889	51.92258
HG01464	HG01465	5.036072
HG00329	HG00343	18.36474
HG00358	HG00366	10.98292
HG01489	HG01551	16.30987
NA19468	NA19704	5.590475
HG03687	HG04035	7.913925
NA19320	NA19374	36.28695
NA19035	NA19321	71.30837
NA19023	NA19455	5.512929
HG02253	HG02301	12.1797
HG00183	HG00330	19.7518
HG01489	HG01497	6.268448
NA20875	NA21128	25.51796
HG00190	HG00319	6.064208
NA19042	NA19355	5.374489
HG01809	HG01812	6.546761
NA20512	NA20812	7.248112
HG01097	HG01302	50.13316
HG00736	HG01695	6.779781
NA18873	NA19214	14.90271
HG00736	HG01079	49.54919
NA18989	NA19064	11.90789
NA19035	NA19431	11.12067
HG03127	HG03169	13.33977
HG00329	HG00338	17.0682
HG00598	HG00635	6.764071
HG00736	HG00737	26.98104
HG01392	NA19913	5.210251
NA18989	NA19011	6.114491
HG01097	HG01303	46.56471
HG00183	HG00267	10.89999
HG00736	HG01326	46.20117
HG03126	HG03172	5.148102
NA19035	NA19463	26.26414
NA20875	NA20896	28.42122
HG00736	HG01205	12.88818
HG03941	HG04185	5.439743
HG01504	HG01522	5.903641
HG00736	HG01069	42.41127
HG00190	HG00365	10.94247
HG00318	HG00338	10.94969
HG00190	HG00367	7.885559
HG00736	HG01767	5.251788
HG00183	HG00365	6.795746
HG00318	HG00337	6.188374
HG03157	HG03372	8.080177
NA19035	NA19449	5.618805
HG00190	HG00325	11.3025
HG01312	HG01402	35.07286
HG03063	HG03433	6.775188
HG01809	HG02386	5.524727
HG00239	HG00251	6.17541
NA19035	NA19317	5.746876
HG01098	HG01110	38.32448
NA20533	NA20796	13.76235
NA19035	NA19318	10.47984
HG00183	HG00275	5.05899
HG00183	HG00315	6.545658
HG00239	HG00245	35.41281
NA20859	NA21104	25.63853
HG03279	HG03313	40.01233
HG03079	HG03575	8.427414
HG01098	HG01188	65.56018
NA19651	NA19676	13.35568
NA20895	NA21095	6.056
HG01392	HG01393	31.82286
HG03084	HG03485	17.73993
NA20859	NA21137	6.955856
HG01113	HG01550	73.98123
HG00176	HG00361	16.08083
HG02974	HG03109	6.557861
HG00176	HG00321	24.57206
NA19035	NA19346	6.25882
HG01113	HG01140	64.08671
NA18516	NA18874	6.21199
HG00683	HG00705	6.201828
NA19172	NA19256	5.093246
HG01098	HG01413	11.78664
HG02250	HG02409	7.610306
HG00239	HG00258	9.731842
HG02836	HG02837	69.88533
NA20895	NA21086	6.661533
NA18486	NA18498	5.346916
NA21104	NA21127	29.49401
HG01047	HG01107	7.591362
HG03212	HG03460	6.102419
HG01047	HG01101	10.60161
HG01325	HG01413	37.31463
HG01455	HG01767	9.25798
NA21104	NA21114	11.61616
NA21100	NA21144	23.49572
HG01055	HG01161	51.44728
HG01351	HG01464	10.47135
HG01351	HG01383	43.87199
NA18853	NA18877	6.51506
HG01055	HG01190	21.47591
HG01047	HG01088	15.28994
HG03078	HG03097	6.62355
HG03685	HG03851	11.04424
HG01351	HG01374	68.48307
HG01173	HG01393	35.64762
HG01325	HG01326	29.48344
HG01055	HG01396	51.7714
NA21104	NA21143	12.29526
HG02271	HG02292	18.59771
HG01055	HG01197	132.3098
HG01351	HG01362	5.596863
HG03078	HG03081	13.75641
HG01047	HG01412	39.7581
HG02371	HG02380	7.619259
HG01351	HG01494	44.14426
HG03944	HG04210	5.192703
HG03129	NA19200	8.382454
HG00180	HG00332	17.80772
HG01173	NA19785	5.351639
HG03717	HG03871	5.823746
HG00266	HG00276	12.10192
HG01351	HG01412	6.767319
HG01351	HG01468	103.9339
HG03198	NA19147	5.840675
HG03086	HG03559	8.31443
NA19030	NA19439	8.032578
HG03717	HG03771	5.034946
HG01047	HG01069	17.35475
HG01850	HG02130	5.933559
HG01173	HG01398	9.994171
HG01047	HG01162	25.23169
NA19030	NA19347	5.174751
NA18853	NA18861	41.30393
HG00619	HG00631	5.032326
HG01325	HG01402	37.68366
NA20889	NA21107	10.74135
NA19675	NA19717	8.693649
HG01351	HG01375	11.23309
NA19024	NA19437	5.930249
HG00240	HG00242	36.21333
HG03567	HG03577	21.08052
NA20889	NA21117	5.572899
HG03717	HG04025	5.148758
NA21100	NA21123	5.625397
HG01277	HG01353	18.59941
HG02105	HG02286	6.056675
HG01277	HG01485	6.548201
NA20889	NA21143	5.574593
HG00180	HG00339	6.484787
HG03129	HG03130	13.57223
NA20889	NA21089	5.412254
HG03944	HG04227	6.390411
HG03298	HG03300	29.1942
HG01277	HG01377	21.58407
HG02184	HG02371	12.91412
HG02184	HG02372	13.01357
NA21104	NA21142	25.97481
HG03303	HG03515	5.444115
HG01855	HG02017	6.312958
HG00180	HG00342	21.42296
HG00180	HG00382	12.39995
NA20528	NA20764	18.62507
HG03247	NA20289	11.8849
HG01247	HG01607	10.2037
HG00240	HG00252	32.26488
HG01277	HG01354	12.7394
HG02271	HG02286	6.306717
HG00266	HG00273	9.863922
HG01277	HG01362	32.62511
HG00266	HG00334	7.225834
HG03685	HG03895	8.466705
HG01889	HG02429	21.78461
HG02372	HG02408	5.654572
HG03717	HG03784	17.79069
HG00105	NA12843	5.933044
HG00180	HG00380	16.80226
HG02953	HG03518	6.034988
NA20581	NA20785	8.871109
HG03685	HG03866	14.89343
NA20753	NA20783	18.91306
HG01800	HG01812	65.80972
HG03298	HG03514	9.421906
HG02780	HG03660	14.52403
NA19020	NA19307	5.271927
HG01572	HG02301	6.242947
HG02464	HG02771	10.89322
HG02813	HG03538	6.827011
HG03717	HG04026	23.19355
HG02780	HG02783	6.46965
HG00345	HG00364	11.16997
NA19030	NA19380	8.410851
NA19331	NA19439	5.637787
HG01171	HG01403	15.8757
NA19024	NA19334	21.72256
HG02464	HG02465	70.33345
HG02259	HG02292	5.180138
NA19030	NA19475	5.777222
HG01171	HG01188	24.5122
HG03298	HG03343	32.70087
HG01572	HG01945	13.74287
HG01615	HG01625	14.07352
HG02582	HG03258	6.308481
HG03900	HG04038	9.325394
HG01247	HG01286	35.12357
HG00180	HG00327	11.14985
HG01383	HG01479	30.19163
HG02108	HG02420	13.55011
HG03378	HG03559	11.03458
HG03247	NA20341	11.8849
HG01110	HG01187	18.02087
HG01619	HG01991	5.147066
HG03900	HG04210	13.39713
NA19310	NA19467	5.272408
HG01260	HG01363	15.71998
HG02923	HG03169	18.90667
NA19439	NA20348	5.004868
NA20876	NA20878	7.196045
HG00982	HG01796	7.576477
HG03132	HG03189	8.729603
NA20884	NA21111	11.40701
NA20876	NA21112	5.931656
HG03121	HG03295	11.76122
NA19328	NA19471	19.61633
HG01102	HG01970	5.520813
HG00982	HG02398	14.47261
HG01063	HG01183	23.5628
HG01063	HG01088	30.21786
HG01063	HG01064	33.27734
HG02923	HG03103	39.32453
HG03121	HG03351	14.25968
HG01140	HG01468	45.83189
HG03121	HG03511	11.75868
NA19031	NA19378	12.22464
HG01063	HG01241	6.422979
NA20867	NA20869	16.83032
HG01140	HG01495	5.055493
HG01140	HG01437	5.718959
NA21125	NA21129	36.06712
NA21125	NA21127	6.969597
HG03091	HG03095	6.115219
NA20851	NA21119	19.39332
HG02923	HG02946	7.322861
HG02923	HG02968	5.616005
HG01102	HG01248	26.37446
HG01345	HG01464	29.81366
HG01063	HG01308	26.65239
HG00128	HG01334	5.12262
HG01253	HG01353	22.57126
HG03693	HG03844	6.996685
NA20876	NA21088	5.43882
HG02855	HG02896	19.30368
HG01345	HG01383	28.76635
HG02923	HG03518	5.013809
HG02078	HG02079	6.172714
HG00290	HG00375	19.75465
HG01766	NA19759	8.23999
HG00321	HG00329	24.64641
NA19043	NA19430	10.43382
HG00732	HG01174	62.62071
HG01939	NA19740	5.26387
HG01140	HG01359	16.48956
NA20867	NA21115	5.710052
NA20801	NA20826	49.27684
HG00290	HG00327	13.20131
HG00732	HG01161	14.06514
HG00321	HG00335	11.65871
HG01260	HG01359	47.42438
HG03132	HG03280	23.13661
HG02923	HG03120	11.76558
NA20806	NA20822	5.302521
HG01140	HG01280	20.94104
HG03073	HG03478	5.355835
HG01260	HG01455	40.66174
NA19654	NA19663	16.28237
HG00290	HG00334	23.33017
HG03132	HG03198	14.42706
HG03280	HG03520	5.415359
HG02923	HG03123	6.466419
HG01140	HG01447	35.5849
HG03073	HG03449	5.571198
HG03073	HG03397	27.57385
NA19328	NA19466	5.047775
HG03354	HG03517	16.86975
NA20884	NA21086	17.30391
NA19328	NA19404	54.82352
HG00321	HG00362	15.60627
HG03073	HG03484	10.54485
HG00271	HG00355	13.13467
HG00304	HG00365	33.46398
HG02164	HG02186	52.25503
HG03785	HG04025	29.59086
HG00304	HG00367	13.96256
HG00361	HG00380	5.478668
NA19384	NA19461	20.19543
NA12006	NA12813	7.656708
NA19383	NA19430	23.73655
HG00732	HG00734	34.46557
HG00732	HG01092	11.54008
NA19428	NA19452	16.48853
HG02562	HG03045	9.542072
NA19384	NA19390	17.72716
NA19328	NA19372	5.218704
HG03073	HG03419	12.76978
NA19328	NA19446	26.29678
HG00290	HG00344	5.070862
NA20867	NA20876	26.94014
HG02646	HG02982	16.83119
HG03442	HG03464	6.655045
NA20867	NA20884	12.72136
HG03354	HG03372	8.999325
NA20867	NA21144	11.01901
NA19347	NA19461	19.64601
NA19314	NA19452	12.26356
HG00271	HG00329	5.951691
NA19384	NA19456	5.966835
HG00361	HG00368	20.7524
NA19428	NA19451	52.61554
HG00304	HG00342	5.422737
HG00559	HG00628	7.777664
HG04106	HG04210	26.96633
HG03280	HG03291	106.0466
HG03280	HG03300	20.61361
HG03753	HG03850	8.047913
HG00304	HG00362	18.29375
HG02938	HG02977	29.19456
NA12156	NA12400	6.166199
NA21122	NA21123	18.90696
NA21098	NA21141	24.85235
NA20769	NA20792	5.181274
NA19383	NA19467	12.21262
NA19043	NA19451	5.186602
HG02057	HG02079	5.961029
HG03280	HG03351	34.31321
NA21106	NA21130	6.799774
NA19043	NA19397	7.503772
NA20899	NA21111	18.25444
HG03753	HG03854	5.129715
HG00290	HG00339	14.99672
HG02938	HG03515	14.73143
NA19085	NA19090	5.943649
HG00361	HG00378	15.69047
NA21106	NA21129	13.01394
HG00732	HG01110	22.36531
HG03078	HG03079	14.11811
HG01607	HG02236	15.66274
HG01455	HG01488	17.64632
HG00623	HG02122	7.545425
HG03198	HG03280	16.57611
HG03096	HG03449	9.146591
HG01055	HG01991	5.259483
HG01047	HG01325	15.92232
NA21093	NA21110	10.96719
HG01055	HG01085	35.5281
NA19431	NA19434	12.5431
HG01455	HG01492	19.8094
HG01055	HG01188	83.58682
HG03198	HG03313	6.074486
HG03096	HG03461	6.465174
HG02783	HG02789	50.41091
HG00133	HG01791	6.322023
HG01047	HG01102	13.94088
HG03851	HG03998	19.02098
HG01055	HG01067	88.51963
NA20849	NA20889	10.92796
HG01055	HG01183	85.53186
NA20849	NA21100	6.690567
HG01953	HG01973	5.711143
HG01047	HG01188	25.05285
HG01047	HG01067	35.84531
HG00881	HG01031	25.7258
HG01055	HG01060	42.11114
HG03096	HG03578	15.08881
HG01055	HG01061	34.33518
NA20506	NA20539	5.806854
HG00102	HG00123	13.376
NA18486	NA19144	5.08717
HG03851	HG03897	5.248192
HG01055	HG01168	32.80219
HG01280	HG01384	28.0842
HG03851	HG03989	13.45686
HG02107	HG02144	6.46843
HG00102	HG00124	11.14714
HG01280	HG01438	15.6049
HG03088	HG03378	8.896881
NA18486	NA19121	9.565567
HG00339	HG00383	5.727222
HG03740	HG03986	15.30452
HG03096	HG03445	7.800194
HG01055	NA19777	5.387474
HG01799	HG01807	5.601532
HG03851	HG03884	26.67028
HG01055	HG01171	25.71688
HG03052	NA20298	5.330643
HG00360	HG00366	12.67091
NA20849	NA21122	13.07552
HG01055	HG01325	67.43081
HG00595	HG00596	11.18139
NA20506	NA20801	21.18719
HG03052	HG03567	6.757042
NA19031	NA19471	6.640778
HG01271	HG01488	15.26763
NA20851	NA21133	14.78565
HG04023	HG04096	10.82533
HG00982	HG01807	5.436729
HG03873	HG04107	5.18602
HG00185	HG00328	10.40257
HG00595	HG00620	12.70798
HG01860	HG01867	5.970657
NA18934	NA20342	5.576813
NA20851	NA21124	26.67878
HG03755	HG04107	17.87773
HG02763	HG03058	8.472988
HG01799	HG01800	58.10843
HG03120	HG03268	6.369095
HG03873	HG03944	5.678913
HG01271	HG01491	21.9809
HG01271	HG01374	31.78816
HG01102	HG01303	74.424
HG03873	HG04210	6.11603
NA20851	NA21091	19.81744
HG01271	HG01474	5.755859
NA20851	NA20869	12.51887
HG03851	HG04106	12.3773
NA19431	NA19468	58.76851
HG00684	HG00717	5.85498
HG03851	HG04035	17.81942
HG00185	HG00334	7.172379
HG01280	HG01378	33.21894
NA19031	NA19038	5.701423
NA19431	NA19455	10.47722
HG01280	HG01468	67.76538
HG01799	HG01859	5.297241
HG00351	HG00375	19.98311
NA21093	NA21104	24.54426
HG03130	HG03343	6.00589
NA19431	NA19463	13.66245
HG01280	HG01497	71.38633
NA19031	NA19467	24.59713
NA21112	NA21137	12.95521
HG01140	HG01498	15.16173
NA20851	NA21114	8.345306
HG01345	HG01494	25.06756
HG01102	HG01105	32.55849
HG01063	HG01072	13.93103
HG03755	HG04106	19.33908
HG04035	HG04210	18.19482
NA20851	NA20875	6.093021
HG03060	HG03565	14.79406
HG00102	HG00110	20.64857
HG00982	HG02084	5.316483
HG01260	HG01556	16.57778
HG03060	HG03577	5.566635
HG01253	HG01259	43.12686
NA19031	NA19310	10.52284
NA18522	NA18861	8.332062
HG03060	HG03382	12.49004
HG01345	HG01447	11.14665
NA20851	NA21093	6.858429
HG03779	HG04098	15.48212
HG02923	HG03521	17.2923
HG01063	HG01174	21.66827
HG01102	HG01200	68.94251
HG01063	HG01083	17.85305
HG01345	HG01437	36.92711
HG01271	HG01362	23.47997
HG03511	HG03518	14.7907
HG01345	HG01350	92.95386
HG01102	HG01162	16.17883
HG02783	HG03660	26.61983
NA20876	NA20892	5.58683
HG00371	HG00378	6.302901
NA20851	NA21126	7.044662
NA21129	NA21137	20.68264
HG01271	HG01348	11.28794
NA20851	NA21135	12.8597
NA21112	NA21117	17.45348
HG03640	HG03663	19.75984
NA20851	NA21088	5.080978
HG00982	HG02380	10.48378
NA20876	NA20911	12.00242
HG00185	HG00383	22.6574
NA19031	NA19036	19.31887
HG01894	HG02107	43.89558
HG01253	HG01275	23.51285
HG01756	HG01757	52.01899
HG01063	HG01069	41.84668
HG03130	HG03511	5.005318
HG01102	HG01326	16.64046
HG01345	HG01378	17.23747
HG03085	HG03452	29.39561
NA21087	NA21118	13.14854
HG01130	HG01131	24.25478
NA21094	NA21098	20.9104
HG02356	HG02395	9.403599
HG00332	HG00342	5.203384
HG01130	HG01372	26.7291
HG01130	HG01133	9.390198
HG03163	HG03370	6.423416
HG01812	HG02133	6.620712
NA19321	NA19430	5.635376
HG00475	HG00513	7.28479
NA19372	NA19436	17.60089
NA19037	NA19308	15.06778
NA20878	NA21115	5.817429
HG02379	HG02395	9.403599
HG01130	HG01280	7.261948
HG02363	HG02379	608.8623
HG01130	HG01253	35.16191
HG03069	HG03079	25.04028
HG03163	NA18870	102.279
HG03061	HG03451	5.375072
HG01130	HG01260	9.941788
HG01130	HG01464	9.263451
HG01130	HG01489	21.92995
HG01812	HG02401	13.20952
NA20878	NA21129	8.144867
HG03484	HG03575	14.34641
HG02799	HG02805	6.233963
HG01863	HG02060	6.546799
HG03163	HG03279	22.4622
HG03085	HG03575	6.060455
HG02715	HG02820	22.33762
NA21087	NA21100	5.903198
HG02497	HG03473	9.65502
HG03300	HG03311	86.2996
NA19372	NA19462	8.77034
HG02497	HG03069	5.089578
HG00422	HG00428	5.357216
NA19383	NA19462	19.79748
NA19017	NA19318	60.9164
HG01028	HG02166	5.707764
NA19025	NA19403	13.72907
HG03111	HG03135	11.91002
HG01028	HG02391	5.222196
HG02489	HG02541	13.23547
HG03372	HG03499	11.42252
HG03267	HG03303	23.02312
NA19017	NA19035	16.66987
NA19347	NA19452	12.30075
HG03753	HG03900	8.475945
NA19017	NA19467	13.97303
NA19025	NA19319	13.75577
NA19314	NA19435	15.02919
NA21122	NA21137	21.32831
HG01359	HG01465	29.25086
HG00864	HG01795	5.283691
NA19200	NA19835	5.427521
HG00864	HG02180	9.478622
NA19347	NA19376	427.0109
NA19025	NA19430	16.89657
NA19017	NA19384	127.5868
HG03385	HG03410	112.0665
NA21098	NA21135	5.5158
HG01801	HG02151	33.60331
NA19017	NA19025	60.33124
NA19462	NA19466	22.11111
HG03064	HG03565	13.38383
HG01359	HG01456	6.844543
HG00864	HG00879	7.615417
HG00559	HG00566	6.09906
HG01359	HG01468	24.59553
HG03064	HG03376	6.162796
NA19311	NA19390	6.321426
NA19347	NA19439	5.152428
HG03950	HG04038	6.326454
HG01914	HG02496	5.725632
NA19347	NA19428	67.8501
HG01914	HG02450	51.97949
HG03168	HG03198	5.003616
NA18964	NA19011	5.168251
NA19327	NA19474	20.081
HG00110	HG00120	22.22507
HG03433	HG03437	9.935806
HG02759	HG02760	125.4502
HG01359	HG01362	12.21637
HG00525	HG02364	6.457405
HG03433	HG03436	5.010239
HG02330	HG02497	15.69742
NA19311	NA19430	30.82527
HG02356	HG02364	5.967003
HG03760	HG03854	21.43582
NA07037	NA12761	6.247269
NA19397	NA19472	7.179825
HG03313	NA18870	23.41138
NA12761	NA12815	6.417435
HG02728	HG02793	24.54017
NA19311	NA19317	6.196335
HG01359	HG01383	39.25068
HG00879	HG00881	53.75253
NA21094	NA21123	17.31583
NA19025	NA19037	20.54771
HG03295	HG03351	16.56259
NA19393	NA19397	91.20119
NA19311	NA19377	13.8844
HG03064	HG03464	13.38089
HG02787	HG03705	48.3649
HG01130	HG01465	36.4623
NA21094	NA21109	31.50277
NA21094	NA21142	12.91618
HG01988	HG02433	6.338512
NA19311	NA19323	61.8877
NA18489	NA18502	5.273402
HG02356	HG02391	7.117622
HG02787	HG02790	29.743
NA19451	NA19463	8.114532
NA19311	NA19704	5.248833
HG03117	HG03515	43.45667
NA12046	NA12814	7.618324
HG03117	HG03193	5.427353
HG03162	HG03352	31.26985
NA20878	NA21086	8.517738
HG03085	HG03410	5.297882
HG03064	HG03442	6.655045
HG01168	HG01183	15.02847
NA11931	NA12760	5.174995
HG03300	HG03515	5.52327
NA20878	NA20888	11.61596
NA21087	NA21110	16.50163
HG03433	HG03464	5.131248
HG03072	HG03558	9.463978
HG03117	HG03370	6.914291
HG03085	HG03548	9.562607
HG02943	HG03342	6.554398
HG02728	HG03706	22.55464
HG01130	HG01468	57.79725
HG01130	HG01251	22.19409
HG03069	HG03578	14.79997
HG02363	HG02386	13.36536
HG01130	HG01437	17.33922
NA19327	NA19372	11.65559
HG02629	HG02820	14.54579
HG01130	HG01551	25.05488
HG02728	HG02790	46.90936
NA19372	NA19454	75.23377
NA19037	NA19461	33.58179
NA19311	NA19901	5.040974
HG01130	HG01491	17.12811
HG02629	HG02715	8.719543
NA19311	NA19451	19.59388
NA19311	NA19327	21.4641
HG02943	HG03136	12.16983
HG03300	HG03370	169.0897
HG02379	HG02386	20.7048
NA21094	NA21135	38.48675
HG03163	HG03366	24.98242
HG01259	HG01669	5.529198
HG01108	HG01286	15.47549
HG00553	HG01108	7.325531
HG01108	HG01198	5.592337
HG00349	HG00350	12.79587
HG00273	HG00349	19.69456
HG01108	HG01396	8.708984
NA20515	NA20540	16.23273
HG00325	HG00328	10.20149
HG01976	HG01992	5.395676
HG01108	HG01308	17.65572
HG01108	HG01174	14.67878
HG03115	HG03193	6.838291
HG00553	HG01286	32.27995
HG01945	HG01950	11.34321
HG00553	HG00638	52.27161
HG00273	HG00372	11.93534
HG00325	HG00357	16.95696
HG00553	HG01094	41.2034
HG00273	HG00309	12.43141
HG01259	HG01444	24.82562
HG01303	HG01325	11.13553
HG00553	HG01107	33.43905
HG01111	HG01630	5.870163
HG01125	HG01465	23.95743
HG01111	HG01170	19.72866
HG01125	HG01140	42.12087
HG01125	HG01137	17.86853
HG01259	HG01359	21.0847
HG03115	HG03369	8.887238
HG01058	HG01086	53.91353
HG00553	HG01073	25.01425
HG00273	HG00313	12.50273
HG01125	HG01556	14.69995
HG00553	HG01242	13.04184
HG01945	HG01954	6.056183
HG01088	HG01205	24.8161
HG01086	HG01173	23.62545
HG01125	HG01497	23.32152
HG00325	HG00368	39.505
HG01125	HG01384	28.79262
HG01108	HG01412	10.34472
NA19391	NA19401	10.69568
HG01259	HG01488	5.47612
HG01603	HG01630	5.246094
HG01398	HG02089	5.59935
NA20515	NA20517	11.00293
HG01125	HG01250	21.99226
HG00349	HG00358	17.9854
HG01086	HG01389	6.88414
HG01375	HG01492	27.6665
HG00187	HG00331	10.51867
NA19038	NA19439	7.13327
HG00187	HG00379	5.934822
HG00282	HG00368	5.116089
HG01125	HG01357	6.253296
HG01086	HG01413	27.69945
NA19332	NA19384	13.62749
HG01630	NA12761	5.485764
HG01142	HG01497	7.16024
HG01111	NA19764	6.789665
HG03163	HG03190	22.67787
HG01259	HG01280	11.39592
HG01108	HG01188	17.73655
HG01086	HG01101	19.97493
HG03731	HG04239	5.137146
HG01375	HG01437	36.10762
HG01058	HG01082	10.87151
HG00759	HG02389	6.237984
HG00186	HG00273	11.606
HG00187	HG00284	12.64038
NA20540	NA20586	6.95871
HG01125	HG01485	5.559402
HG01058	HG01413	18.57162
HG00553	HG01168	28.32216
HG01250	HG01257	31.59686
NA20807	NA20814	7.380127
HG01125	HG01362	10.94941
HG00324	NA06989	7.002808
NA19664	NA19777	5.448411
HG01111	HG01412	24.89158
HG02789	HG03019	18.25546
HG02789	HG02790	51.4752
HG03115	HG03120	7.08654
HG01088	NA19785	5.348114
HG01058	HG01095	51.05484
NA19332	NA19334	14.16503
HG02817	HG02837	6.13163
HG01111	NA12761	5.485764
HG03849	HG03898	8.743179
NA19391	NA19463	19.31294
HG01125	HG01431	11.81284
HG00186	HG00350	5.684022
NA11918	NA20336	6.421524
HG00186	HG00379	14.16068
HG03953	HG04106	33.0762
HG01058	HG01064	32.45656
HG01375	HG01431	10.66173
NA20771	NA20810	5.961845
NA21124	NA21135	11.71826
NA19309	NA19436	43.77303
HG01861	HG02136	10.14159
HG01058	HG01167	40.16976
HG00638	HG01086	11.74194
HG00186	HG00383	11.44812
HG01082	HG01111	36.41351
HG00320	HG00357	11.77485
NA19403	NA19439	25.41295
HG00187	HG00383	55.64748
HG00324	HG00378	11.15979
HG00320	HG00350	6.354202
HG01125	HG01464	44.21875
HG01088	HG01188	39.54574
HG03123	HG03168	10.80414
HG01142	HG01374	29.13721
HG01498	HG02265	5.367355
NA19038	NA19467	19.72257
HG01125	HG01280	38.65002
NA19309	NA19360	7.895523
HG01250	HG01377	24.80593
NA18916	NA19189	5.683342
NA19315	NA19351	5.38435
HG03861	HG04096	11.64068
NA19390	NA19401	12.96407
HG00638	HG01308	14.17885
HG00638	HG01170	54.7286
HG01082	HG01176	24.55523
HG00638	HG01054	16.0003
HG01982	HG02299	12.057
NA19315	NA19466	5.192726
HG00189	HG00285	8.743439
HG01083	HG01610	12.96288
HG03681	HG03851	17.16805
HG00324	HG00368	16.36915
HG00113	HG00122	8.433273
HG01142	HG01348	39.5668
HG01082	HG01104	22.85645
HG01082	HG01089	11.83115
HG01083	HG01414	25.10932
HG03681	HG03999	10.66515
HG00638	HG01079	20.63534
HG03750	HG03848	27.03621
HG03963	HG04015	18.95884
HG00253	HG00255	13.25102
HG00638	HG01312	23.38744
HG01162	HG01170	5.952866
HG00269	HG00280	10.93602
HG03015	HG03019	19.8368
NA20896	NA21126	18.03594
HG00346	HG00357	11.15525
HG00638	HG01183	33.49509
HG00638	HG01066	8.246704
NA19093	NA19130	14.39547
HG02807	HG02982	5.024338
HG01051	HG01302	31.73372
NA21086	NA21107	33.40625
HG00638	HG01188	32.45857
HG00189	HG00332	7.446228
HG01162	NA19752	7.653547
NA19703	NA20126	5.056221
HG02787	HG03491	13.07813
NA21086	NA21103	14.76219
HG01162	HG01205	65.52045
NA20896	NA21090	5.144272
HG03681	HG03884	6.837669
HG00638	HG01067	9.412811
HG01051	HG01108	7.175262
HG00269	HG00325	23.78259
HG00269	HG00349	6.733124
NA10851	NA12249	5.72175
HG03681	HG03837	6.781101
HG01051	HG01064	24.05077
HG00269	HG00362	9.919998
HG03121	NA18510	11.18674
HG03112	NA19338	5.039388
HG02807	HG02839	5.357834
HG00269	HG00319	29.8938
HG01134	HG01456	10.78729
HG01162	HG01171	18.16044
HG00275	HG00336	15.21819
HG00269	HG00313	28.2411
HG01926	HG02298	8.561096
NA19350	NA19431	8.595413
HG01205	NA12249	5.909692
HG02645	HG02839	5.389198
HG01162	HG01197	20.62698
HG00269	HG00338	28.40488
HG00638	HG01048	28.86259
NA19350	NA19375	203.0667
HG00275	HG00381	5.917458
HG03729	HG04001	8.558426
HG01556	HG02763	6.187378
NA21086	NA21099	6.480597
HG03074	HG03439	5.323357
HG03772	HG03784	11.62787
HG01707	HG01708	28.11771
HG01205	HG01405	30.35085
HG01286	HG01308	26.44807
HG01051	HG01054	26.92081
HG01051	HG01055	39.63852
HG01134	HG01149	41.65014
NA20526	NA20775	5.055481
HG00323	HG00327	11.25254
HG00323	HG00372	19.64622
HG00315	HG00330	28.40423
HG00323	HG00384	33.33928
HG01198	HG01312	12.58909
HG02284	HG02476	5.798798
HG02105	NA19795	5.797543
HG03121	HG03189	15.387
HG01705	HG01710	10.94323
HG02684	HG02787	7.100716
NA19351	NA19401	18.49304
NA19384	NA19448	17.15578
NA21103	NA21141	14.4339
NA21103	NA21144	37.09289
HG01286	HG01412	30.22202
HG01134	HG01383	63.36924
HG02374	HG02397	5.430557
HG00269	HG00364	11.60219
NA19351	NA19403	15.30394
NA21086	NA21119	7.477768
HG00732	HG00739	20.534
HG02684	HG02792	12.52106
NA20851	NA21142	5.250206
HG02676	HG02768	5.287354
HG01124	HG01136	21.8315
NA19351	NA19461	17.82504
NA21103	NA21115	26.98566
HG02186	HG02367	6.854553
HG01124	HG01269	10.81617
HG01198	HG01359	5.456497
HG00323	HG00357	18.49076
HG00323	HG00376	5.389988
HG00732	HG01104	32.42603
HG00732	HG01365	6.578213
HG03121	HG03162	6.096281
HG01104	HG01286	28.25731
HG00732	HG00742	64.27232
NA21103	NA21117	12.80438
NA20526	NA20752	5.077274
HG02783	HG03019	11.59925
HG03097	HG03457	6.103836
HG02309	HG02502	7.103821
HG00315	HG00358	12.34567
