ID1	ID2	IBD_CM_SUM
HG01250	HG01362	19.33543
NA19391	NA19471	6.561642
NA21093	NA21141	23.85217
HG01142	HG01465	11.18848
HG03905	HG03914	5.131668
HG00187	HG00328	14.44997
HG01250	HG01465	21.61007
HG00743	HG01064	41.67579
HG01250	HG01492	13.13913
HG01086	HG01171	17.4895
HG00186	HG00280	13.90697
HG03135	NA18917	6.363525
NA12400	NA19921	5.088196
HG00186	HG00367	12.08632
HG00334	HG00350	14.65071
HG01058	HG01191	57.73691
HG02722	HG03060	5.45314
NA21141	NA21144	16.20345
HG00187	HG00343	22.48607
HG00743	HG01392	42.27729
HG00186	HG00189	24.01204
HG01083	HG01205	39.39648
HG01164	HG01311	24.20833
NA10851	NA12342	6.021973
NA19403	NA19445	17.50803
HG01384	HG01443	6.022629
HG04035	HG04039	5.838547
HG00186	HG00309	26.27591
HG01393	HG01412	39.08525
NA19332	NA19449	21.63982
HG01164	HG01167	32.43483
HG01082	HG01353	5.907013
HG00187	HG00371	11.26777
HG02687	HG02727	42.31036
HG00187	HG00362	5.286781
HG03861	HG04017	36.59418
HG02687	HG02783	27.50351
HG00285	HG00334	11.09447
HG01083	HG01326	39.38889
HG03193	HG03343	34.1613
HG00186	HG00382	21.58341
HG00638	HG01393	33.2637
HG00187	HG00290	32.49834
HG01260	HG01378	13.95869
HG01148	HG01375	9.368301
NA19309	NA19437	8.731417
HG01082	HG01205	18.80402
HG00189	HG00310	5.642685
HG01082	HG01083	15.92976
HG01260	HG01374	241.41
HG00324	HG00371	22.15386
NA18956	NA18968	5.003937
HG01384	HG01438	56.53505
HG00189	HG00278	26.11282
HG01082	HG01085	21.2393
HG01083	HG01173	26.36867
HG01083	HG01170	218.7212
HG00638	NA20296	8.155807
HG02687	HG02775	49.83253
HG01393	HG01398	59.45245
HG01885	HG01956	16.34892
HG00743	HG01067	91.16739
HG01086	HG01098	52.50092
HG01058	HG01171	20.24435
NA19332	NA19466	7.3497
HG00324	HG00328	26.28045
NA19315	NA19380	5.036011
HG01086	HG01167	92.24167
HG00743	HG01403	30.56042
HG01149	HG01351	6.150299
HG01111	HG01167	26.88509
HG01086	HG01311	11.97176
NA19391	NA19461	6.546875
HG01142	HG01377	46.59666
HG01142	HG01354	50.20492
HG00187	HG00341	5.06131
HG00334	HG00336	19.17224
HG00187	HG00268	25.54935
HG00187	HG00308	24.09892
HG01164	HG01183	17.71768
HG00743	HG01066	58.07611
HG00187	HG00353	32.91988
HG00743	HG01183	79.16331
HG02642	HG03048	8.169464
HG01142	HG01312	12.36232
HG00187	HG00358	28.60247
HG00189	HG00324	19.39082
HG00187	HG00361	34.25396
HG01142	HG01431	7.197853
NA20783	NA20790	14.40191
HG00743	HG01323	15.06354
HG00334	HG00383	5.416114
HG00334	HG00376	11.17145
HG00324	HG00382	13.40303
HG00324	HG00335	26.02633
HG02804	HG02819	48.73294
HG00113	HG00125	94.5123
HG01260	HG01474	60.48155
NA19309	NA19375	5.916946
HG01142	HG01351	14.27332
HG01142	HG01284	35.03757
HG01968	HG02278	8.482269
NA20540	NA20796	12.7541
HG00324	HG00366	23.23555
HG01058	HG01098	27.46981
HG01142	HG01356	41.69122
HG01205	HG01302	50.7597
HG01083	HG01182	36.60246
HG01205	HG01414	21.96618
HG00188	HG00323	12.2001
HG00186	HG00351	18.50588
NA19390	NA19473	6.081177
HG01134	HG01259	42.45742
HG00638	HG00740	29.46423
NA20783	NA20795	12.0868
HG01082	HG01094	33.67298
HG01148	HG01495	17.45091
HG00188	HG00331	6.293631
NA19380	NA19434	19.34628
HG03193	HG03303	17.78708
HG01134	HG01275	17.35569
HG01260	HG01431	20.33065
HG01205	HG01412	24.97181
HG03099	HG03121	10.9925
HG01459	HG01474	78.37348
HG03750	HG03754	3294.092
HG01260	HG01550	59.8363
HG00188	HG00269	13.22459
HG01148	HG01378	24.40989
HG00188	HG00367	30.35444
HG02687	HG02786	40.65854
HG01134	HG01495	29.06692
HG01082	HG01308	34.45969
HG00113	HG00120	38.55623
HG00150	HG00238	5.175629
HG02645	HG02667	33.56895
HG00189	HG00335	16.77182
NA19390	NA19443	73.43089
HG01596	HG01850	6.898109
HG01083	HG01395	48.56596
HG00638	HG01248	16.35806
HG00671	HG00672	62.39154
NA10851	NA12347	5.273079
HG00285	HG00365	15.53873
HG01082	HG01242	13.1839
HG01148	HG01350	93.44599
HG00186	HG00341	5.312714
HG02360	HG02375	5.260162
NA19403	NA19404	12.67964
HG03963	HG03971	5.052681
HG01205	HG01353	5.739258
HG01148	HG01357	25.8813
NA19390	NA19435	6.304653
NA21093	NA21137	22.33237
HG01393	HG01402	41.94922
HG01134	HG01148	18.61385
HG01861	HG02142	5.453228
HG00186	HG00361	19.86317
HG00186	HG00358	22.88485
HG01083	HG01197	36.13641
HG01968	HG02147	5.001589
HG00186	HG00329	18.65793
HG01148	HG01438	27.43329
HG00189	HG00376	17.13779
HG01082	HG01102	67.99516
HG00324	HG00373	30.94253
HG03681	HG03850	5.615005
HG00189	HG00383	18.92305
HG00638	HG01412	29.3564
NA19649	NA19779	87.03964
HG01384	HG01437	37.99407
HG01148	HG01257	22.89328
HG00638	HG01190	6.212986
HG00285	HG00356	39.199
HG00334	HG00362	22.55058
HG01384	HG01551	8.510941
HG00189	HG00339	17.24516
HG01205	HG01357	5.107513
HG00638	HG01176	29.76694
HG00285	HG00337	15.47598
HG01205	HG01326	29.07231
HG03681	HG04047	7.211578
