"n","median_val","variance","Resolution"
4950,0,0.24764889415002,-2
4950,0.989202955458737,0.150762631729156,-1.66666666666667
4950,0.986861752059902,2.8340817404112e-05,-1.33333333333333
4950,0.956614264877434,0.00201628410294297,-1
4950,0.953451846562069,0.00125988729493806,-0.666666666666667
4950,0.918950382327638,0.00207526874322235,-0.333333333333333
4950,0.845761767434174,0.00348963344323339,0
4950,0.841841716290927,0.0029912792943635,0.333333333333333
4950,0.867279936059477,0.00089393027676474,0.666666666666667
4950,0.818672861357825,0.0027317850705866,1
