"n","median_val","variance","Resolution"
100,0,0.0119056722393002,-2
100,0.217306878979505,0.00205514599884803,-1.66666666666667
100,0.553862350405356,4.06422891177172e-06,-1.33333333333333
100,0.747062632383629,0.000560072344141096,-1
100,0.749442738044038,0.000297919383182113,-0.666666666666667
100,0.738592806241864,0.000666245713274229,-0.333333333333333
100,0.58016999246641,0.00122044254488367,0
100,0.454339862657018,0.00143649508948212,0.333333333333333
100,0.362973676080395,0.000138373275478738,0.666666666666667
100,0.212306119460648,0.000461024989023189,1
